Jahr;Ges;Name;Age_Group;Runner_Number;Place_Gender;Place_Age_Group;Place_Overall;Start_Time_of_day;Finish_Time;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time;FK_Diff;FK_min_km;FK_kmh
2012;M;Kebede, Tsegaye (ETH);25-29;5;1;1;1;–;02:04:38;01:02:55;01:02:55;12:35;4.77;02:05:50;01:02:55;12:35;4.77;03:08:45;01:02:55;12:35;4.77;04:11:40;01:02:55;12:35;4.77;04:25:29;13:49;12:36;4.77;05:14:35;49:06;12:35;4.77;06:17:30;01:02:55;12:35;4.77;07:20:25;01:02:55;12:35;4.77;08:23:20;01:02:55;12:35;4.77;02:04:38;-06:18:42;-02:52:32;-0.35
2012;M;Lilesa, Feyisa (ETH);20-24;6;2;1;2;–;02:04:52;01:02:56;01:02:56;12:36;4.77;02:05:52;01:02:56;12:36;4.77;03:08:48;01:02:56;12:36;4.77;04:11:44;01:02:56;12:36;4.77;04:25:33;13:49;12:36;4.77;05:14:40;49:07;12:36;4.77;06:17:36;01:02:56;12:36;4.77;07:20:32;01:02:56;12:36;4.77;08:23:28;01:02:56;12:36;4.77;02:04:52;-06:18:36;-02:52:29;-0.35
2012;M;Regassa, Tilahun (ETH);20-24;17;3;2;3;–;02:05:27;01:02:55;01:02:55;12:35;4.77;02:05:50;01:02:55;12:35;4.77;03:08:45;01:02:55;12:35;4.77;04:11:40;01:02:55;12:35;4.77;04:25:29;13:49;12:36;4.77;05:14:35;49:06;12:35;4.77;06:17:30;01:02:55;12:35;4.77;07:20:25;01:02:55;12:35;4.77;08:23:20;01:02:55;12:35;4.77;02:05:27;-06:17:53;-02:52:10;-0.35
2012;M;Kitwara, Sammy (KEN);25-29;16;4;2;4;–;02:05:54;01:02:55;01:02:55;12:35;4.77;02:05:50;01:02:55;12:35;4.77;03:08:45;01:02:55;12:35;4.77;04:11:40;01:02:55;12:35;4.77;04:25:29;13:49;12:36;4.77;05:14:35;49:06;12:35;4.77;06:17:30;01:02:55;12:35;4.77;07:20:25;01:02:55;12:35;4.77;08:23:20;01:02:55;12:35;4.77;02:05:54;-06:17:26;-02:51:58;-0.35
2012;M;Korir, Wesley (KEN);25-29;2;5;3;5;–;02:06:13;01:02:56;01:02:56;12:36;4.77;02:05:52;01:02:56;12:36;4.77;03:08:48;01:02:56;12:36;4.77;04:11:44;01:02:56;12:36;4.77;04:25:33;13:49;12:36;4.77;05:14:40;49:07;12:36;4.77;06:17:36;01:02:56;12:36;4.77;07:20:32;01:02:56;12:36;4.77;08:23:28;01:02:56;12:36;4.77;02:06:13;-06:17:15;-02:51:53;-0.35
2012;M;Kipyego, Bernard (KEN);25-29;3;6;4;6;–;02:06:40;01:02:56;01:02:56;12:36;4.77;02:05:52;01:02:56;12:36;4.77;03:08:48;01:02:56;12:36;4.77;04:11:44;01:02:56;12:36;4.77;04:25:33;13:49;12:36;4.77;05:14:40;49:07;12:36;4.77;06:17:36;01:02:56;12:36;4.77;07:20:32;01:02:56;12:36;4.77;08:23:28;01:02:56;12:36;4.77;02:06:40;-06:16:48;-02:51:40;-0.35
2012;M;Ndungu, Samuel (KEN);20-24;12;7;3;7;–;02:07:26;01:02:55;01:02:55;12:35;4.77;02:05:50;01:02:55;12:35;4.77;03:08:45;01:02:55;12:35;4.77;04:11:40;01:02:55;12:35;4.77;04:25:29;13:49;12:36;4.77;05:14:35;49:06;12:35;4.77;06:17:30;01:02:55;12:35;4.77;07:20:25;01:02:55;12:35;4.77;08:23:20;01:02:55;12:35;4.77;02:07:26;-06:15:54;-02:51:16;-0.35
2012;M;Yami, Dadi (ETH);30-34;7;8;1;8;–;02:07:43;01:02:55;01:02:55;12:35;4.77;02:05:50;01:02:55;12:35;4.77;03:08:45;01:02:55;12:35;4.77;04:11:40;01:02:55;12:35;4.77;04:25:29;13:49;12:36;4.77;05:14:35;49:06;12:35;4.77;06:17:30;01:02:55;12:35;4.77;07:20:25;01:02:55;12:35;4.77;08:23:20;01:02:55;12:35;4.77;02:07:43;-06:15:37;-02:51:08;-0.35
2012;M;Ritzenhein, Dathan (USA);25-29;15;9;5;9;–;02:07:47;01:03:25;01:03:25;12:41;4.73;02:06:50;01:03:25;12:41;4.73;03:10:15;01:03:25;12:41;4.73;04:13:40;01:03:25;12:41;4.73;04:27:35;13:55;12:42;4.73;05:17:05;49:30;12:41;4.73;06:20:30;01:03:25;12:41;4.73;07:23:55;01:03:25;12:41;4.73;08:27:20;01:03:25;12:41;4.73;02:07:47;-06:19:33;-02:52:55;-0.35
2012;M;Dawit, Shami (ETH);25-29;8;10;6;10;–;02:08:39;01:02:56;01:02:56;12:36;4.77;02:05:52;01:02:56;12:36;4.77;03:08:48;01:02:56;12:36;4.77;04:11:44;01:02:56;12:36;4.77;04:25:33;13:49;12:36;4.77;05:14:40;49:07;12:36;4.77;06:17:36;01:02:56;12:36;4.77;07:20:32;01:02:56;12:36;4.77;08:23:28;01:02:56;12:36;4.77;02:08:39;-06:14:49;-02:50:46;-0.35
2012;W;Baysa, Atsede (ETH);25-29;203;1;1;35;–;02:22:03;01:11:15;01:11:15;14:15;4.21;02:22:30;01:11:15;14:15;4.21;03:33:45;01:11:15;14:15;4.21;04:45:00;01:11:15;14:15;4.21;05:00:38;15:38;14:15;4.21;05:56:15;55:37;14:16;4.21;07:07:30;01:11:15;14:15;4.21;08:18:45;01:11:15;14:15;4.21;09:30:00;01:11:15;14:15;4.21;02:22:03;-07:07:57;-03:14:58;-0.31
2012;W;Jeptoo, Rita (KEN);30-34;205;2;1;36;–;02:22:04;01:11:16;01:11:16;14:16;4.21;02:22:32;01:11:16;14:16;4.21;03:33:48;01:11:16;14:16;4.21;04:45:04;01:11:16;14:16;4.21;05:00:43;15:39;14:16;4.21;05:56:20;55:37;14:16;4.21;07:07:36;01:11:16;14:16;4.21;08:18:52;01:11:16;14:16;4.21;09:30:08;01:11:16;14:16;4.21;02:22:04;-07:08:04;-03:15:02;-0.31
2012;W;Kabuu, Lucy (KEN);25-29;202;3;2;37;–;02:22:41;01:11:16;01:11:16;14:16;4.21;02:22:32;01:11:16;14:16;4.21;03:33:48;01:11:16;14:16;4.21;04:45:04;01:11:16;14:16;4.21;05:00:43;15:39;14:16;4.21;05:56:20;55:37;14:16;4.21;07:07:36;01:11:16;14:16;4.21;08:18:52;01:11:16;14:16;4.21;09:30:08;01:11:16;14:16;4.21;02:22:41;-07:07:27;-03:14:45;-0.31
2012;W;Rotich, Caroline (KEN);25-29;207;4;3;39;–;02:23:22;01:11:16;01:11:16;14:16;4.21;02:22:32;01:11:16;14:16;4.21;03:33:48;01:11:16;14:16;4.21;04:45:04;01:11:16;14:16;4.21;05:00:43;15:39;14:16;4.21;05:56:20;55:37;14:16;4.21;07:07:36;01:11:16;14:16;4.21;08:18:52;01:11:16;14:16;4.21;09:30:08;01:11:16;14:16;4.21;02:23:22;-07:06:46;-03:14:26;-0.31
2012;W;Sado, Fatuma (ETH);20-24;208;5;1;50;–;02:26:09;01:11:16;01:11:16;14:16;4.21;02:22:32;01:11:16;14:16;4.21;03:33:48;01:11:16;14:16;4.21;04:45:04;01:11:16;14:16;4.21;05:00:43;15:39;14:16;4.21;05:56:20;55:37;14:16;4.21;07:07:36;01:11:16;14:16;4.21;08:18:52;01:11:16;14:16;4.21;09:30:08;01:11:16;14:16;4.21;02:26:09;-07:03:59;-03:13:10;-0.31
2012;W;Metivier Baillie, Renee (USA);30-34;212;6;2;57;–;02:27:17;01:13:01;01:13:01;14:37;4.11;02:26:02;01:13:01;14:37;4.11;03:39:03;01:13:01;14:37;4.11;04:52:04;01:13:01;14:37;4.11;05:08:06;16:02;14:37;4.11;06:05:05;56:59;14:37;4.11;07:18:06;01:13:01;14:37;4.11;08:31:07;01:13:01;14:37;4.11;09:44:08;01:13:01;14:37;4.11;02:27:17;-07:16:51;-03:19:02;-0.30
2012;W;McMahan, Dot (USA);35-39;211;7;1;83;–;02:32:11;01:16:05;01:16:05;15:13;3.94;02:32:10;01:16:05;15:13;3.94;03:48:15;01:16:05;15:13;3.94;05:04:20;01:16:05;15:13;3.94;05:21:02;16:42;15:13;3.94;06:20:25;59:23;15:14;3.94;07:36:30;01:16:05;15:13;3.94;08:52:35;01:16:05;15:13;3.94;10:08:40;01:16:05;15:13;3.94;02:32:11;-07:36:29;-03:27:58;-0.29
2012;W;Pezzullo, Stephanie (USA);30-34;214;8;3;86;–;02:32:42;01:16:05;01:16:05;15:13;3.94;02:32:10;01:16:05;15:13;3.94;03:48:15;01:16:05;15:13;3.94;05:04:20;01:16:05;15:13;3.94;05:21:02;16:42;15:13;3.94;06:20:25;59:23;15:14;3.94;07:36:30;01:16:05;15:13;3.94;08:52:35;01:16:05;15:13;3.94;10:08:40;01:16:05;15:13;3.94;02:32:42;-07:35:58;-03:27:44;-0.29
2012;W;Portis, Laura (USA);25-29;325;9;4;129;–;02:37:18;–;–;00:00;–;–;–;00:00;–;–;–;00:00;–;–;–;00:00;–;–;–;00:00;–;–;–;00:00;–;–;–;00:00;–;–;–;00:00;–;–;–;00:00;–;02:37:18;–;00:00;–
2012;W;Bracy, Addie (USA);25-29;218;10;5;181;–;02:41:29;01:16:45;01:16:45;15:21;3.91;02:33:30;01:16:45;15:21;3.91;03:50:15;01:16:45;15:21;3.91;05:07:00;01:16:45;15:21;3.91;05:23:51;16:51;15:21;3.91;06:23:45;59:54;15:22;3.91;07:40:30;01:16:45;15:21;3.91;08:57:15;01:16:45;15:21;3.91;10:14:00;01:16:45;15:21;3.91;02:41:29;-07:32:31;-03:26:10;-0.29
