Jahr;Ges;Name;Number;Time;Time_Chip ;Place;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2011;M;Hailu Mekonnen;6;2:07:35;2:07:33;1;0:14:57;0:29:56;0:44:50;0:59:54;1:03:13;1:15:00;1:29:56;1:44:58;2:00:41;2:07:35
2011;M;Paul Biwott;4;2:08:17;2:08:14;2;0:14:57;0:29:56;0:44:50;0:59:54;1:03:13;1:15:00;1:29:56;1:45:04;2:01:01;2:08:17
2011;M;Yuki Kawauchi;16;2:08:37;2:08:35;3;0:14:57;0:29:57;0:44:51;0:59:55;1:03:14;1:15:02;1:30:07;1:45:54;2:01:45;2:08:37
2011;M;Kennori Oda;19;2:09:03;2:09:01;4;0:14:58;0:29:58;0:44:51;0:59:55;1:03:14;1:15:01;1:30:06;1:45:37;2:01:52;2:09:03
2011;M;Cyrus Njui;8;2:09:10;2:09:09;5;0:14:57;0:29:57;0:44:51;0:59:54;1:03:14;1:15:01;1:30:06;1:45:37;2:01:46;2:09:10
2011;M;Felix Limo;2;2:10:50;2:10:48;6;0:14:57;0:29:56;0:44:50;0:59:54;1:03:13;1:15:00;1:30:14;1:46:17;2:03:18;2:10:50
2011;M;Koda Takaaki;17;2:11:08;2:11:06;7;0:14:58;0:29:57;0:44:51;0:59:55;1:03:14;1:15:01;1:30:06;1:46:08;2:03:18;2:11:08
2011;M;Salim Kipsang;5;2:11:25;2:11:23;8;0:14:57;0:29:57;0:44:50;0:59:54;1:03:14;1:15:00;1:30:24;1:46:35;2:03:50;2:11:25
2011;M;Iemane Tsegae;3;2:11:49;2:11:46;9;0:14:57;0:29:57;0:44:50;0:59:54;1:03:14;1:15:01;1:30:45;1:47:07;2:04:06;2:11:49
2011;M;Takashi Horiguchi;116;2:12:05;2:12:03;10;0:14:58;0:29:58;0:44:51;0:59:55;1:03:14;1:15:01;1:30:39;1:47:12;2:04:22;2:12:05
2011;W;Noriko Higuchi;35;2:28:49;2:28:46;2;0:17:25;0:34:54;0:52:18;1:09:40;1:13:30;1:26:57;1:44:38;2:02:29;2:20:56;2:28:49
2011;W;Tatyana Petrova;22;2:28:56;2:28:54;3;0:17:46;0:35:28;0:53:07;1:10:44;1:14:42;1:28:31;1:45:59;2:03:36;2:21:16;2:28:56
2011;W;Yoko Shibui;31;2:29:03;2:29:01;4;0:17:20;0:34:45;0:52:05;1:09:25;1:13:19;1:26:53;1:44:08;2:01:45;2:20:18;2:29:03
2011;W;Katsumata Misaki;34;2:31:10;2:31:08;5;0:17:20;0:34:42;0:51:51;1:09:00;1:12:50;1:26:35;1:44:43;2:03:30;2:22:46;2:31:10
2011;W;Sumiko Suzuki;206;2:32:02;2:32:00;6;0:17:24;0:34:55;0:52:32;1:10:28;1:14:28;1:28:36;1:46:52;2:05:17;2:23:51;2:32:02
2011;W;Yamazaki Rina;238;2:32:51;2:32:49;7;0:17:53;0:35:59;0:54:00;1:12:00;1:15:54;1:29:49;1:47:32;2:05:28;2:24:30;2:32:51
2011;W;Shoko Miyazaki;205;2:33:10;2:33:07;8;0:17:28;0:34:57;0:52:42;1:10:42;1:14:41;1:28:45;1:47:13;2:05:49;2:24:56;2:33:10
2011;W;Hiromi Hirata;33;2:33:14;2:33:12;9;0:17:29;0:34:57;0:52:46;1:10:48;1:14:49;1:29:06;1:47:38;2:06:24;2:25:18;2:33:14
2011;W;Olena Brukovska;25;2:33:30;2:33:28;10;0:17:29;0:34:58;0:52:31;1:10:22;1:14:18;1:28:33;1:47:02;2:05:54;2:25:16;2:33:30
2011;W;Miki Ohira;202;2:34:46;2:34:44;11;0:17:29;0:34:58;0:52:47;1:10:48;1:14:49;1:29:05;1:47:38;2:06:24;2:25:59;2:34:46
