Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2016;M;8:30AM;Ghirmay Ghebreslassie; 2;2:07:51;04:53;1;1;(20-24);1;1;2:07:51;2:07:51;0:15:20;0:30:40;0:45:53;1:01:08;1:04:24;1:15:56;1:30:15;1:45:18;2:00:52
2016;M;8:30AM;Lucas Rotich; 5;2:08:53;04:55;2;2;(25-29);1;3;2:08:53;2:08:53;0:15:19;0:30:39;0:45:53;1:01:08;1:04:25;1:15:56;1:30:15;1:45:39;2:01:47
2016;M;8:30AM;Abdi Abdirahman;16;2:11:23;05:01;3;3;(35-39);1;2;2:08:16;2:11:23;0:15:20;0:30:40;0:45:53;1:01:10;1:04:29;1:16:43;1:32:29;1:48:35;2:04:25
2016;M;8:30AM;Hiroyuki Yamamoto;11;2:11:49;05:02;4;4;(30-34);1;4;2:11:49;2:11:49;0:15:22;0:30:39;0:45:54;1:01:10;1:04:28;1:16:42;1:32:30;1:48:35;2:04:43
2016;M;8:30AM;Shadrack Biwott;14;2:12:01;05:03;5;5;(30-34);2;5;2:12:01;2:12:01;0:15:24;0:30:42;0:45:54;1:01:11;1:04:38;1:17:05;1:32:30;1:48:36;2:04:44
2016;M;8:30AM;Tadesse Yae Dabi;46;2:13:06;05:05;6;6;(25-29);2;6;2:13:06;2:13:06;0:15:20;0:30:38;0:45:51;1:01:08;1:04:28;1:17:04;1:32:34;1:48:46;2:05:50
2016;M;8:30AM;Moses Kipsiro; 6;2:14:18;05:08;7;7;(30-34);3;7;2:14:18;2:14:18;0:15:24;0:30:41;0:45:54;1:01:11;1:04:26;1:16:39;1:32:30;1:48:35;2:05:39
2016;M;8:30AM;Tyler Pennel;12;2:15:09;05:10;8;8;(25-29);3;9;2:15:09;2:15:09;0:15:23;0:30:54;0:46:21;1:01:46;1:05:19;1:17:53;1:33:45;1:50:15;2:07:37
2016;M;8:30AM;Ben Payne;20;2:15:46;05:11;9;9;(35-39);2;8;2:15:02;2:15:46;0:15:45;0:31:52;0:47:52;1:03:56;1:07:39;1:20:27;1:36:17;1:52:26;2:08:46
2016;M;8:30AM;Patrick Smyth;18;2:16:34;05:13;10;10;(30-34);4;10;2:16:34;2:16:34;0:15:23;0:30:43;0:46:06;1:01:47;1:05:19;1:17:55;1:34:10;1:51:16;2:08:37
2016;W;8:30AM;Mary Keitany;101;2:24:26;05:31;25;1;(30-34);1;1;2:24:10;2:24:26;0:18:42;0:35:54;0:52:49;1:09:04;1:12:39;1:25:35;1:41:35;1:58:39;2:16:18
2016;W;8:30AM;Sally Kipyego;108;2:28:01;05:39;35;2;(30-34);2;2;2:28:01;2:28:01;0:18:44;0:35:56;0:52:53;1:09:59;1:13:54;1:27:24;1:44:22;2:02:18;2:20:17
2016;W;8:30AM;Molly Huddle;111;2:28:13;05:40;36;3;(30-34);3;3;2:28:12;2:28:13;0:18:43;0:35:55;0:52:51;1:09:40;1:13:35;1:27:25;1:44:50;2:02:44;2:20:35
2016;W;8:30AM;Joyce Chepkirui;104;2:29:08;05:42;39;4;(25-29);1;4;2:29:08;2:29:08;0:18:43;0:35:55;0:52:48;1:09:05;1:12:39;1:26:06;1:43:12;2:01:36;2:20:25
2016;W;8:30AM;Diane Nukuri;106;2:33:04;05:51;49;5;(30-34);4;6;2:33:04;2:33:04;0:18:46;0:35:55;0:52:53;1:10:25;1:14:27;1:28:59;1:47:03;2:05:53;2:24:43
2016;W;8:30AM;Aselefech Mergia;102;2:33:28;05:52;53;6;(30-34);5;7;2:33:28;2:33:28;0:18:45;0:35:50;0:52:50;1:09:18;1:13:25;1:27:58;1:46:48;2:05:53;2:25:03
2016;W;8:30AM;Lanni Marchant;110;2:33:50;05:53;57;7;(30-34);6;8;2:33:49;2:33:50;0:18:45;0:35:56;0:53:24;1:11:21;1:15:28;1:30:07;1:48:24;2:06:57;2:25:40
2016;W;8:30AM;Neely Gracey;115;2:34:55;05:55;64;8;(25-29);2;11;2:34:55;2:34:55;0:18:46;0:36:06;0:53:52;1:11:29;1:15:27;1:29:31;1:47:15;2:05:53;2:25:31
2016;W;8:30AM;Sara Hall;109;2:36:12;05:58;72;9;(30-34);7;13;2:36:06;2:36:12;0:18:47;0:35:56;0:53:04;1:10:36;1:14:34;1:29:00;1:47:03;2:06:29;2:27:03
2016;W;8:30AM;Ayantu Dakebo Hailemaryam;121;2:37:07;06:00;78;10;(20-24);1;14;2:36:07;2:37:07;0:18:45;0:35:53;0:53:18;1:12:07;1:16:27;1:31:59;1:50:04;2:09:13;2:28:36
