Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2010;M;8:30AM;Gebre Gebrmariam;14;2:08:14;04:54;1;1;(25-29);1;1;2:08:14;2:08:14;0:16:26;0:32:03;0:46:54;1:02:08;1:05:20;1:17:34;1:31:38;1:46:32;2:01:54
2010;M;8:30AM;Emmanuel Mutai; 6;2:09:18;04:56;2;2;(30-34);2;2;2:09:18;2:09:18;0:16:24;0:32:00;0:46:52;1:02:07;1:05:19;1:17:33;1:31:38;1:46:32;2:01:58
2010;M;8:30AM;Moses Kigen Kipkosgei;21;2:10:39;04:59;3;3;(25-29);3;3;2:10:39;2:10:39;;;;;;;;1:47:19;
2010;M;8:30AM;James Kwambai; 3;2:11:31;05:01;4;4;(25-29);5;5;2:11:31;2:11:31;0:16:27;0:32:02;0:46:53;1:02:08;1:05:19;1:17:33;1:31:38;1:46:36;2:02:51
2010;M;8:30AM;Meb Keflezighi; 1;2:11:38;05:02;5;5;(35-39);6;6;2:11:38;2:11:38;0:16:24;0:32:00;0:46:52;1:02:06;1:05:19;1:17:32;1:32:15;1:48:10;2:04:23
2010;M;8:30AM;Marilson Gomes dos Santos;10;2:11:51;05:02;6;6;(30-34);7;7;2:11:51;2:11:51;0:16:25;0:32:00;0:46:53;1:02:06;1:05:19;1:17:32;1:31:52;1:47:55;2:04:13
2010;M;8:30AM;Dathan Ritzenhein;12;2:12:33;05:04;7;7;(25-29);8;8;2:12:33;2:12:33;0:16:25;0:32:02;0:46:53;1:02:08;1:05:20;1:17:34;1:32:15;1:48:15;2:04:51
2010;M;8:30AM;Abel Kirui; 4;2:13:01;05:05;8;8;(25-29);9;9;2:13:01;2:13:01;0:16:25;0:32:01;0:46:52;1:02:06;1:05:19;1:17:32;1:32:01;1:48:02;2:04:42
2010;M;8:30AM;Abderrahime Bouramdane; 5;2:14:07;05:07;9;9;(30-34);10;11;2:14:07;2:14:07;0:16:25;0:32:01;0:46:52;1:02:07;1:05:19;1:17:32;1:31:38;1:47:02;2:05:41
2010;M;8:30AM;Jorge Torres; 7;2:14:57;05:09;10;10;(30-34);11;12;2:14:57;2:14:57;0:16:25;0:32:01;0:46:52;1:02:07;1:05:21;1:17:34;1:33:25;1:50:29;2:07:24
2010;W;8:30AM;Edna Kiplagat;117;2:28:20;05:40;34;1;(30-34);1;10;2:28:05;2:28:20;0:18:42;0:36:00;0:53:54;1:11:54;1:15:48;1:29:58;1:47:13;2:04:39;2:21:03
2010;W;8:30AM;Shalane Flanagan;108;2:28:40;05:41;37;2;(25-29);2;11;2:28:40;2:28:40;0:18:40;0:36:01;0:53:54;1:11:54;1:15:48;1:29:55;1:47:13;2:04:39;2:21:07
2010;W;8:30AM;Mary Keitany;104;2:29:01;05:41;40;3;(25-29);3;12;2:29:01;2:29:01;0:18:40;0:36:01;0:53:55;1:11:53;1:15:48;1:29:55;1:47:13;2:04:39;2:21:06
2010;W;8:30AM;Inga Abitova;110;2:29:17;05:42;41;4;(25-29);4;13;2:29:17;2:29:17;0:18:40;0:36:01;0:53:54;1:11:52;1:15:47;1:29:55;1:47:12;2:04:39;2:21:32
2010;W;8:30AM;Kim Smith;111;2:29:28;05:42;43;5;(25-29);5;14;2:29:28;2:29:28;0:18:40;0:36:01;0:53:54;1:11:53;1:15:48;1:29:57;1:47:13;2:04:40;2:21:50
2010;W;8:30AM;Christelle Daunay;103;2:29:29;05:43;44;6;(35-39);6;7;2:27:14;2:29:29;0:18:41;0:36:00;0:53:54;1:11:52;1:15:48;1:29:55;1:47:13;2:04:42;2:22:00
2010;W;8:30AM;Ludmila Petrova;102;2:29:41;05:43;47;7;(40-44);7;2;2:19:05;2:29:41;0:18:40;0:36:01;0:53:54;1:11:52;1:15:47;1:29:55;1:47:13;2:04:40;2:21:51
2010;W;8:30AM;Caroline Rotich;120;2:29:46;05:43;48;8;(25-29);8;15;2:29:46;2:29:46;0:18:40;0:36:00;0:53:55;1:11:52;1:15:47;1:29:59;1:47:13;2:04:39;2:21:43
2010;W;8:30AM;Madai Perez;114;2:29:53;05:43;49;9;(30-34);9;16;2:29:49;2:29:53;0:18:41;0:36:01;0:53:54;1:11:53;1:15:47;1:29:55;1:47:13;2:04:39;2:21:58
2010;W;8:30AM;Buzunesh Deba;118;2:29:55;05:44;50;10;(20-24);10;17;2:29:55;2:29:55;0:18:40;0:36:01;0:53:54;1:11:52;1:15:47;1:29:56;1:47:13;2:04:42;2:22:11
