Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2013;M;8:30AM;Geoffrey Mutai; 1;2:08:24;04:54;1;1;(30-34);1;1;2:08:22;2:08:24;0:15:42;0:30:54;0:46:06;1:01:46;1:05:06;1:17:03;1:31:41;1:46:44;2:01:32
2013;M;8:30AM;Tsegaye Kebede; 3;2:09:15;04:56;2;2;(25-29);1;2;2:09:15;2:09:15;0:15:43;0:30:53;0:46:06;1:01:43;1:05:06;1:17:02;1:31:41;1:47:02;2:02:27
2013;M;8:30AM;Lusapho April;11;2:09:45;04:57;3;3;(30-34);2;3;2:09:45;2:09:45;0:15:42;0:30:55;0:46:06;1:01:45;1:05:07;1:17:03;1:31:41;1:46:54;2:02:29
2013;M;8:30AM;Julius Arile;19;2:10:03;04:58;4;4;(30-34);3;4;2:10:03;2:10:03;0:15:45;0:30:52;0:46:06;1:01:47;1:05:08;1:17:03;1:31:41;1:47:08;2:02:45
2013;M;8:30AM;Stanley Biwott; 8;2:10:41;05:00;5;5;(25-29);2;5;2:10:41;2:10:41;0:15:43;0:30:53;0:46:06;1:01:45;1:05:07;1:17:03;1:31:41;1:46:44;2:02:31
2013;M;8:30AM;Masato Imai;16;2:10:45;05:00;6;6;(25-29);3;6;2:10:45;2:10:45;0:15:44;0:30:53;0:46:07;1:01:45;1:05:08;1:17:09;1:32:23;1:48:17;2:03:52
2013;M;8:30AM;Jackson Kiprop;18;2:10:56;05:00;7;7;(25-29);4;7;2:10:56;2:10:56;0:15:42;0:30:53;0:46:06;1:01:44;1:05:07;1:17:02;1:31:41;1:47:13;2:03:19
2013;M;8:30AM;Peter Cheruiyot Kirui; 9;2:11:23;05:01;8;8;(25-29);5;8;2:11:23;2:11:23;0:15:42;0:30:53;0:46:06;1:01:46;1:05:08;1:17:03;1:31:42;1:47:14;2:03:43
2013;M;8:30AM;Wesley Korir; 7;2:11:34;05:02;9;9;(30-34);4;9;2:11:34;2:11:34;0:15:44;0:30:54;0:46:06;1:01:46;1:05:07;1:17:03;1:31:43;1:47:52;2:04:02
2013;M;8:30AM;Daniele Meucci;14;2:12:03;05:03;10;10;(25-29);6;10;2:12:03;2:12:03;0:15:44;0:30:54;0:46:08;1:01:44;1:05:09;1:17:27;1:33:06;1:49:46;2:05:26
2013;W;8:30AM;Priscah Jeptoo;103;2:25:07;05:33;25;1;(25-29);1;2;2:25:07;2:25:07;0:19:05;0:36:55;0:54:35;1:12:05;1:16:00;1:29:31;1:45:20;2:01:50;2:17:54
2013;W;8:30AM;Buzunesh Deba;104;2:25:56;05:34;28;2;(25-29);2;5;2:25:56;2:25:56;0:17:34;0:34:44;0:51:43;1:08:51;1:12:38;1:26:28;1:43:30;2:01:05;2:18:11
2013;W;8:30AM;Jelena Prokopcuka;107;2:27:47;05:39;32;3;(35-39);1;4;2:25:37;2:27:47;0:19:03;0:36:54;0:54:34;1:12:05;1:16:02;1:29:39;1:46:21;2:03:52;2:20:29
2013;W;8:30AM;Christelle Daunay;106;2:28:14;05:40;34;4;(35-39);2;3;2:25:23;2:28:14;0:19:04;0:36:54;0:54:35;1:12:06;1:16:02;1:29:38;1:46:21;2:03:52;2:20:44
2013;W;8:30AM;Valeria Straneo;105;2:28:22;05:40;36;5;(35-39);3;6;2:26:13;2:28:22;0:19:03;0:36:54;0:54:34;1:12:06;1:16:01;1:29:39;1:46:21;2:03:53;2:20:48
2013;W;8:30AM;Kim Smith;110;2:28:49;05:41;37;6;(30-34);1;8;2:28:47;2:28:49;0:19:04;0:36:54;0:54:34;1:12:04;1:16:02;1:29:44;1:46:29;2:04:06;2:21:20
2013;W;8:30AM;Sabrina Mockenhaupt;112;2:29:10;05:42;39;7;(30-34);2;9;2:29:00;2:29:10;0:19:03;0:36:54;0:54:33;1:12:06;1:16:02;1:29:48;1:46:29;2:04:06;2:21:22
2013;W;8:30AM;Tigist Tufa Demisse;134;2:29:24;05:42;40;8;(25-29);3;11;2:29:24;2:29:24;0:17:34;0:34:44;0:51:43;1:08:51;1:12:38;1:26:29;1:43:30;2:01:22;2:19:58
2013;W;8:30AM;Edna Kiplagat;102;2:30:04;05:44;42;9;(30-34);3;10;2:29:21;2:30:04;0:19:07;0:36:56;0:54:36;1:12:08;1:16:03;1:29:39;1:46:21;2:04:06;2:22:01
2013;W;8:30AM;Diane Nukuri-Johnson;117;2:30:09;05:44;43;10;(25-29);4;12;2:30:09;2:30:09;0:19:05;0:36:55;0:54:35;1:12:09;1:16:02;1:29:43;1:46:29;2:04:09;2:22:01
