Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2007;M;9:00AM;Martin Lel; 3;2:09:04;04:56;1;1;;;1;2:09:04;2:09:04;0:15:48;0:31:26;0:46:13;1:02:16;1:05:45;1:17:46;1:32:20;1:47:34;2:02:44
2007;M;9:00AM;Abderrahim Goumri; 4;2:09:16;04:56;2;2;;;1;2:09:16;2:09:16;0:15:48;0:31:27;0:46:14;1:02:17;1:05:46;1:17:46;1:32:21;1:47:34;2:02:44
2007;M;9:00AM;Hendrick Ramaala; 9;2:11:25;05:01;3;3;;;2;2:11:25;2:11:25;0:15:48;0:31:23;0:46:14;1:02:19;1:05:46;1:17:47;1:32:21;1:47:35;2:03:50
2007;M;9:00AM;Stefano Baldini; 6;2:11:58;05:02;4;4;;;3;2:11:50;2:11:58;0:15:48;0:31:30;0:46:46;1:02:19;1:05:47;1:17:47;1:33:00;1:49:01;2:05:05
2007;M;9:00AM;James Kwambai;11;2:12:25;05:03;5;5;;;4;2:12:25;2:12:25;0:15:49;0:31:26;0:46:14;1:02:17;1:05:46;1:17:47;1:32:20;1:47:34;2:04:22
2007;M;9:00AM;Ruggero Pertile;14;2:13:01;05:05;6;6;;;5;2:13:01;2:13:01;0:15:49;0:31:30;0:46:46;1:02:19;1:05:46;1:17:51;1:33:24;1:49:33;2:05:58
2007;M;9:00AM;Stephen Kiogora; 2;2:13:40;05:06;7;7;;;6;2:13:40;2:13:40;0:15:47;0:31:26;0:46:14;1:02:16;1:05:47;1:17:47;1:32:44;1:48:49;2:05:57
2007;M;9:00AM;Marilson Gomes dos Santos; 1;2:13:47;05:07;8;8;;;7;2:13:47;2:13:47;0:15:50;0:31:27;0:46:15;1:02:18;1:05:45;1:17:47;1:32:41;1:48:27;2:05:35
2007;M;9:00AM;Aleksandr Kuzin;10;2:14:01;05:07;9;9;;;8;2:14:01;2:14:01;0:15:49;0:31:30;0:46:46;1:02:19;1:05:47;;;;
2007;M;9:00AM;William Kipsang; 8;2:15:32;05:11;10;10;;;9;2:15:32;2:15:32;0:15:48;0:31:27;0:46:13;1:02:17;1:05:45;;;;
2007;W;9:00AM;Paula Radcliffe; F2;2:23:09;05:28;17;1;;;1;2:22:14;2:23:09;0:16:46;0:33:25;0:50:12;1:07:04;1:10:47;1:24:27;1:41:16;1:58:16;2:15:40
2007;W;9:00AM;Gete Wami; F4;2:23:32;05:29;18;2;;;2;2:23:01;2:23:32;0:16:46;0:33:26;0:50:12;1:07:04;1:10:47;1:24:27;1:41:17;1:58:16;2:15:41
2007;W;9:00AM;Jelena Prokopcuka; F1;2:26:13;05:35;23;3;;;3;2:25:58;2:26:13;0:16:51;0:34:12;0:51:40;1:09:31;1:13:23;1:27:10;1:44:49;2:02:10;2:19:02
2007;W;9:00AM;Lidiya Grigoryeva; F5;2:28:37;05:41;25;4;;;4;2:27:40;2:28:37;0:16:51;0:34:12;0:51:40;1:09:31;1:13:23;1:27:10;1:44:49;2:02:24;2:20:48
2007;W;9:00AM;Catherine Ndereba; F3;2:29:08;05:42;27;5;;;5;2:27:01;2:29:08;0:16:50;0:34:12;0:51:40;1:09:31;1:13:23;1:27:19;1:44:49;2:02:40;2:21:11
2007;W;9:00AM;Elva Dryer;F10;2:35:15;05:56;55;6;;;6;2:32:16;2:35:15;0:17:37;0:34:45;0:52:25;1:10:31;1:14:28;1:29:13;1:47:25;2:06:28;2:26:28
2007;W;9:00AM;Robyn Friedman;F20;2:39:19;06:05;99;7;;;7;2:37:45;2:39:19;0:18:37;0:37:07;0:55:38;1:14:22;1:18:29;1:31:22;1:52:16;2:11:12;2:30:45
2007;W;9:00AM;Tegla Loroupe;F11;2:41:48;06:11;125;8;;;8;2:40:12;2:41:48;0:18:34;0:36:43;0:55:15;1:14:02;1:18:09;1:33:32;1:53:15;2:12:56;2:33:24
2007;W;9:00AM;Melisa Christian;F37;2:41:57;06:11;126;9;;;9;2:41:41;2:41:57;0:18:24;0:37:07;0:55:47;1:14:54;1:19:04;1:34:29;1:53:54;2:13:26;2:33:23
2007;W;9:00AM;Alvina Begay;F27;2:42:36;06:13;136;10;;;1;2:42:36;2:42:36;0:18:48;0:37:19;0:55:47;1:14:39;1:18:49;1:34:22;1:53:18;2:12:53;2:33:36
