Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2017;M;8:30AM;Geoffrey Kamworor; 5;2:10:53;05:00;1;1;(20-24);1;4;2:10:53;2:10:53;0:16:15;0:32:00;0:47:17;1:02:50;1:06:12;1:18:28;1:33:57;1:49:36;2:04:25
2017;M;8:30AM;Wilson Kipsang; 4;2:10:56;05:00;2;2;(35-39);1;3;2:10:17;2:10:56;0:16:18;0:31:56;0:47:17;1:02:51;1:06:11;1:18:28;1:33:58;1:49:37;2:04:31
2017;M;8:30AM;Lelisa Desisa; 7;2:11:32;05:01;3;3;(25-29);1;6;2:11:32;2:11:32;0:16:20;0:32:00;0:47:17;1:02:50;1:06:12;1:18:28;1:33:58;1:49:37;2:04:31
2017;M;8:30AM;Lemi Berhanu; 6;2:11:52;05:02;4;4;(20-24);2;7;2:11:52;2:11:52;0:16:20;0:32:00;0:47:18;1:02:51;1:06:11;1:18:27;1:33:58;1:49:36;2:04:31
2017;M;8:30AM;Tadesse Abraham;10;2:12:01;05:03;5;5;(35-39);2;5;2:11:21;2:12:01;0:16:19;0:31:59;0:47:17;1:02:50;1:06:12;1:18:28;1:33:59;1:49:37;2:05:06
2017;M;8:30AM;Michel Butter;14;2:12:39;05:04;6;6;(30-34);1;8;2:12:38;2:12:39;0:16:16;0:31:57;0:47:25;1:02:53;1:06:20;1:18:28;1:34:00;1:49:37;2:05:35
2017;M;8:30AM;Abdi Abdirahman; 3;2:12:48;05:04;7;7;(40-44);1;1;2:09:09;2:12:48;0:16:16;0:31:56;0:47:26;1:02:53;1:06:14;1:18:28;1:34:00;1:49:37;2:05:36
2017;M;8:30AM;Koen Naert;16;2:13:21;05:06;8;8;(25-29);2;10;2:13:21;2:13:21;0:16:16;0:31:57;0:47:25;1:02:51;1:06:19;1:18:29;1:33:59;1:49:40;2:06:09
2017;M;8:30AM;Fikadu Girma Teferi;42;2:13:58;05:07;9;9;(20-24);3;11;2:13:58;2:13:58;0:16:16;0:31:59;0:47:17;1:02:49;1:06:11;1:18:28;1:33:57;1:49:36;2:06:09
2017;M;8:30AM;Shadrack Biwott;12;2:14:57;05:09;10;10;(30-34);2;12;2:14:55;2:14:57;0:16:20;0:32:00;0:47:26;1:02:52;1:06:18;1:18:35;1:34:00;1:49:59;2:07:01
2017;W;8:30AM;Shalane Flanagan;108;2:26:53;05:37;20;1;(35-39);1;1;2:25:19;2:26:53;0:19:15;0:36:55;0:54:46;1:12:21;1:16:18;1:30:08;1:47:06;2:03:56;2:19:53
2017;W;8:30AM;Mary Keitany;101;2:27:54;05:39;24;2;(35-39);2;4;2:26:49;2:27:54;0:19:13;0:36:55;0:54:45;1:12:21;1:16:18;1:30:08;1:47:05;2:03:56;2:20:19
2017;W;8:30AM;Mamitu Daska;105;2:28:08;05:39;26;3;(30-34);1;6;2:27:26;2:28:08;0:19:13;0:36:55;0:54:45;1:12:20;1:16:18;1:30:07;1:47:05;2:03:56;2:20:28
2017;W;8:30AM;Edna Kiplagat;102;2:29:36;05:43;32;4;(35-39);3;3;2:26:44;2:29:36;0:19:13;0:36:54;0:54:45;1:12:20;1:16:19;1:30:08;1:47:07;2:04:14;2:21:52
2017;W;8:30AM;Allie Kieffer;126;2:29:39;05:43;33;5;(30-34);2;8;2:29:39;2:29:39;0:19:13;0:37:16;0:55:06;1:12:38;1:16:36;1:30:19;1:47:39;2:05:01;2:22:16
2017;W;8:30AM;Sara Dossena;120;2:29:39;05:43;34;6;(30-34);3;7;2:29:29;2:29:39;0:19:13;0:36:54;0:54:45;1:12:22;1:16:18;1:30:08;1:47:06;2:04:20;2:22:01
2017;W;8:30AM;Eva Vrabcova;117;2:29:41;05:43;36;7;(30-34);4;9;2:29:39;2:29:41;0:19:13;0:36:55;0:54:44;1:12:22;1:16:18;1:30:09;1:47:06;2:04:21;2:22:02
2017;W;8:30AM;Kellyn Taylor;114;2:29:56;05:44;38;8;(30-34);5;10;2:29:55;2:29:56;0:19:13;0:36:55;0:54:46;1:12:23;1:16:19;1:30:14;1:47:11;2:04:14;2:22:02
2017;W;8:30AM;Diane Nukuri;106;2:31:21;05:47;47;9;(30-34);6;11;2:31:11;2:31:21;0:19:12;0:36:57;0:54:47;1:12:24;1:16:18;1:30:17;1:47:39;2:05:24;2:23:17
2017;W;8:30AM;Stephanie Bruce;116;2:31:44;05:48;52;10;(30-34);7;12;2:31:21;2:31:44;0:19:13;0:36:56;0:54:45;1:12:23;1:16:19;1:30:17;1:47:28;2:05:08;2:23:40
