Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2019;M;8:30AM;Geoffrey Kamworor; 3;2:08:13;04:54;1;1;(25-29);1;2;2:08:13;2:08:13;0:15:16;0:30:35;0:45:45;1:01:20;1:04:50;1:17:07;1:32:25;1:47:34;2:01:48
2019;M;8:30AM;Albert Korir; 5;2:08:36;04:55;2;2;(25-29);2;3;2:08:36;2:08:36;0:15:18;0:30:33;0:45:44;1:01:19;1:04:49;1:17:06;1:32:25;1:47:35;2:02:00
2019;M;8:30AM;Girma Bekele Gebre;43;2:08:38;04:55;3;3;(25-29);3;4;2:08:38;2:08:38;0:15:12;0:30:33;0:45:44;1:01:20;1:04:49;1:17:04;1:32:26;1:47:34;2:02:03
2019;M;8:30AM;Tamirat Tola; 4;2:09:20;04:56;4;4;(25-29);4;5;2:09:20;2:09:20;0:15:21;0:30:34;0:45:45;1:01:20;1:04:50;1:17:05;1:32:26;1:47:35;2:02:29
2019;M;8:30AM;Shura Kitata; 2;2:10:39;04:59;5;5;(20-24);1;7;2:10:39;2:10:39;0:15:18;0:30:33;0:45:44;1:01:20;1:04:51;1:17:05;1:32:26;1:47:37;2:03:37
2019;M;8:30AM;Jared Ward; 6;2:10:45;05:00;6;6;(30-34);1;8;2:10:45;2:10:45;0:15:19;0:30:34;0:45:46;1:01:20;1:04:50;1:17:10;1:32:27;1:47:57;2:03:47
2019;M;8:30AM;Stephen Sambu;10;2:11:11;05:01;7;7;(30-34);2;10;2:11:11;2:11:11;0:15:19;0:30:32;0:45:45;1:01:20;1:04:50;1:17:06;1:32:27;1:47:58;2:03:59
2019;M;8:30AM;Yoshiki Takenouchi;11;2:11:18;05:01;8;8;(25-29);5;11;2:11:18;2:11:18;0:15:20;0:30:35;0:45:45;1:01:20;1:04:49;1:17:06;1:32:26;1:48:00;2:04:09
2019;M;8:30AM;Abdi Abdirahman;14;2:11:34;05:02;9;9;(40-44);1;1;2:05:34;2:11:34;0:15:19;0:30:36;0:45:45;1:01:22;1:04:50;1:17:09;1:32:28;1:47:59;2:04:19
2019;M;8:30AM;Connor McMillan;28;2:12:07;05:03;10;10;(20-24);2;12;2:12:07;2:12:07;0:15:20;0:30:49;0:46:23;1:02:11;1:05:41;1:18:09;1:33:29;1:49:22;2:05:14
2019;W;8:30AM;Joyciline Jepkosgei;106;2:22:38;05:27;31;1;(25-29);1;4;2:22:38;2:22:38;0:17:15;0:34:10;0:51:16;1:08:00;1:11:39;1:24:55;1:41:47;1:58:34;2:15:19
2019;W;8:30AM;Mary Keitany;101;2:23:32;05:29;34;2;(35-39);1;3;2:22:08;2:23:32;0:17:14;0:34:10;0:51:16;1:08:00;1:11:39;1:24:56;1:41:47;1:58:33;2:15:44
2019;W;8:30AM;Ruti Aga;103;2:25:51;05:34;39;3;(25-29);2;9;2:25:51;2:25:51;0:17:12;0:34:10;0:51:16;1:08:00;1:11:39;1:24:55;1:41:47;1:58:58;2:17:34
2019;W;8:30AM;Nancy Kiprop;104;2:26:21;05:35;42;4;(40-44);1;5;2:22:52;2:26:21;0:17:13;0:34:09;0:51:16;1:08:01;1:11:40;1:25:22;1:42:35;2:00:31;2:18:30
2019;W;8:30AM;Sinead Diver;107;2:26:23;05:35;43;5;(40-44);2;2;2:21:02;2:26:23;0:17:14;0:34:09;0:51:16;1:08:10;1:12:02;1:25:52;1:43:04;2:00:52;2:18:42
2019;W;8:30AM;Desiree Linden;105;2:26:46;05:36;47;6;(35-39);2;8;2:25:49;2:26:46;0:17:14;0:34:08;0:51:10;1:07:54;1:11:40;1:25:23;1:42:31;2:00:29;2:18:45
2019;W;8:30AM;Kellyn Taylor;108;2:26:52;05:37;48;7;(30-34);1;11;2:26:46;2:26:52;0:17:15;0:34:09;0:51:16;1:08:19;1:12:11;1:26:08;1:43:16;2:00:58;2:18:58
2019;W;8:30AM;Ellie Pashley;112;2:27:07;05:37;50;8;(30-34);2;12;2:27:07;2:27:07;0:17:15;0:34:10;0:51:17;1:08:18;1:12:12;1:26:13;1:43:33;2:01:17;2:19:18
2019;W;8:30AM;Belaynesh Fikadu;116;2:27:27;05:38;52;9;(30-34);3;13;2:27:26;2:27:27;0:17:15;0:34:10;0:51:17;1:08:09;1:11:59;1:25:50;1:43:03;2:00:52;2:19:18
2019;W;8:30AM;Mary Ngugi;114;2:27:36;05:38;55;10;(30-34);4;14;2:27:36;2:27:36;0:17:14;0:34:10;0:51:16;1:08:05;1:11:55;1:25:48;1:43:02;2:00:53;2:19:22
