Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2009;M;9:00AM;Meb Keflezighi; 8;2:09:15;04:56;1;1;;;1;2:09:15;2:09:15;0:15:52;0:31:05;0:46:22;1:01:41;1:05:11;1:17:32;1:32:12;1:47:20;2:02:29
2009;M;9:00AM;Robert Kipkoech Cheruiyot; 6;2:09:56;04:58;2;2;;;2;2:09:56;2:09:56;0:15:54;0:31:06;0:46:23;1:01:41;1:05:11;1:17:33;1:32:12;1:47:20;2:02:39
2009;M;9:00AM;Jaouad Gharib; 4;2:10:25;04:59;3;3;;;1;2:09:53;2:10:25;0:15:53;0:31:06;0:46:23;1:01:42;1:05:11;1:17:33;1:32:13;1:47:45;2:03:22
2009;M;9:00AM;Ryan Hall; 5;2:10:36;04:59;4;4;;;1;2:10:36;2:10:36;0:15:53;0:31:06;0:46:23;1:01:42;1:05:12;1:17:33;1:32:29;1:48:14;2:03:47
2009;M;9:00AM;Abderrahime Bouramdane;11;2:12:14;05:03;5;5;;;3;2:12:14;2:12:14;0:15:51;0:31:06;0:46:19;1:01:40;1:05:07;1:17:32;1:32:12;1:47:23;2:04:23
2009;M;9:00AM;Hendrick Ramaala; 9;2:12:30;05:04;6;6;;;2;2:11:58;2:12:30;0:15:51;0:31:06;0:46:23;1:01:44;1:05:12;1:17:34;1:32:13;1:48:19;2:05:14
2009;M;9:00AM;Jorge Torres;15;2:13:00;05:05;7;7;;;2;2:13:00;2:13:00;0:15:53;0:31:06;0:46:23;1:01:41;1:05:11;1:17:32;1:32:39;1:49:09;2:05:41
2009;M;9:00AM;Nick Arciniaga;19;2:13:46;05:07;8;8;;;3;2:13:46;2:13:46;0:15:58;0:31:31;0:47:20;1:03:10;1:06:41;1:19:17;1:34:52;1:50:47;2:06:42
2009;M;9:00AM;Abdi Abdirahman;10;2:14:00;05:07;9;9;;;4;2:14:00;2:14:00;0:15:53;0:31:06;0:46:23;1:01:42;1:05:11;1:17:32;1:32:26;1:48:56;2:06:03
2009;M;9:00AM;Jason Lehmkuhle;16;2:14:39;05:09;10;10;;;5;2:14:39;2:14:39;0:15:57;0:31:16;0:46:53;1:02:28;1:05:55;1:18:25;1:33:57;1:50:29;2:07:08
2009;W;9:00AM;Derartu Tulu;117;2:28:52;05:41;50;1;;;1;2:25:07;2:28:52;0:17:55;0:35:16;0:52:39;1:10:08;1:14:05;1:28:16;1:45:34;2:03:46;2:21:22
2009;W;9:00AM;Ludmila Petrova;140;2:29:00;05:41;52;2;;;1;2:20:34;2:29:00;0:17:55;0:35:15;0:52:38;1:10:08;1:14:05;1:28:16;1:45:34;2:03:46;2:21:22
2009;W;9:00AM;Christelle Daunay;115;2:29:16;05:42;54;3;;;1;2:27:48;2:29:16;0:17:55;0:35:16;0:52:38;1:10:08;1:14:06;1:28:14;1:45:34;2:03:46;2:21:27
2009;W;9:00AM;Paula Radcliffe;111;2:29:27;05:42;55;4;;;2;2:27:20;2:29:27;0:17:55;0:35:15;0:52:38;1:10:08;1:14:05;1:28:16;1:45:33;2:03:46;2:21:33
2009;W;9:00AM;Salina Kosgei;112;2:31:53;05:48;71;5;;;2;2:31:21;2:31:53;0:17:56;0:35:16;0:52:39;1:10:09;1:14:06;1:28:17;1:45:34;2:04:39;2:23:35
2009;W;9:00AM;Magdalena Lewy Boulet;118;2:32:16;05:49;78;6;;;3;2:29:20;2:32:17;0:17:57;0:35:16;0:52:39;1:10:17;1:14:19;1:29:01;1:47:14;2:06:09;2:24:23
2009;W;9:00AM;Buzunesh Deba;121;2:35:53;05:57;104;7;;;1;2:35:53;2:35:54;0:18:05;0:35:45;0:54:16;1:12:51;1:17:02;1:32:15;1:51:00;2:10:00;2:28:04
2009;W;9:00AM;Serkalem Biset Abrha;124;2:37:20;06:00;117;8;;;2;2:37:20;2:37:20;0:18:05;0:35:46;0:54:16;1:12:52;1:17:02;1:32:15;1:51:01;2:10:00;2:28:53
2009;W;9:00AM;Yuri Kano;114;2:39:05;06:04;139;9;;;3;2:38:49;2:39:05;0:17:55;0:35:45;0:54:16;1:12:51;1:17:02;1:32:16;1:51:00;2:11:22;2:30:49
2009;W;9:00AM;Desiree Ficker;123;2:39:30;06:05;146;10;;;4;2:38:56;2:39:30;0:18:01;0:35:45;0:54:16;1:12:52;1:17:02;1:32:15;1:51:01;2:10:19;2:30:17
