Jahr;Ges;Start_Time_of_day;Name;Runner_Number;FK_Time;Pace_per_Mile;Place_Overall;Place_Gender;Age_Group;Place_Age_Group;Place_Age_Graded;Time_Age_Graded;Gun_Time;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time
2014;M;8:30AM;Wilson Kipsang; 2;2:10:59;05:00;1;1;(30-34);1;2;2:10:58;2:10:59;0:15:59;0:31:32;0:47:27;1:03:19;1:06:56;1:19:31;1:35:07;1:50:18;2:04:50
2014;M;8:30AM;Lelisa Desisa Benti; 4;2:11:06;05:01;2;2;(20-24);1;3;2:11:06;2:11:06;0:15:59;0:31:33;0:47:27;1:03:20;1:06:57;1:19:32;1:35:07;1:50:18;2:04:50
2014;M;8:30AM;Gebre Gebremariam; 7;2:12:13;05:03;3;3;(30-34);2;4;2:12:13;2:12:13;0:16:01;0:31:34;0:47:28;1:03:21;1:06:57;1:19:32;1:35:08;1:50:18;2:05:29
2014;M;8:30AM;Meb Keflezighi; 5;2:13:18;05:06;4;4;(35-39);1;1;2:10:25;2:13:18;0:16:01;0:31:31;0:47:26;1:03:21;1:06:56;1:19:30;1:35:07;1:50:34;2:06:22
2014;M;8:30AM;Stephen Kiprotich;11;2:13:25;05:06;5;5;(25-29);1;5;2:13:25;2:13:25;0:16:01;0:31:32;0:47:27;1:03:19;1:06:57;1:19:30;1:35:08;1:50:33;2:06:23
2014;M;8:30AM;Geoffrey Mutai; 1;2:13:44;05:07;6;6;(30-34);3;6;2:13:35;2:13:44;0:15:59;0:31:32;0:47:26;1:03:19;1:06:57;1:19:30;1:35:06;1:50:18;2:05:57
2014;M;8:30AM;Masato Imai; 6;2:14:36;05:08;7;7;(30-34);4;7;2:14:36;2:14:36;0:16:01;0:31:33;0:47:27;1:03:20;1:06:56;1:19:31;1:35:07;1:51:03;2:07:19
2014;M;8:30AM;Peter Cheruiyot Kirui; 8;2:14:51;05:09;8;8;(25-29);2;8;2:14:51;2:14:51;0:16:00;0:31:32;0:47:26;1:03:21;1:06:56;1:19:30;1:35:07;1:50:33;2:06:54
2014;M;8:30AM;Ryan Vail;12;2:15:08;05:10;9;9;(25-29);3;10;2:15:08;2:15:08;0:16:02;0:31:34;0:47:27;1:03:22;1:06:57;1:19:40;1:35:32;1:51:58;2:08:13
2014;M;8:30AM;Nick Arciniaga;15;2:15:39;05:11;10;10;(30-34);5;11;2:15:39;2:15:39;0:16:09;0:31:40;0:47:25;1:03:26;1:06:57;1:19:54;1:35:31;1:51:59;2:08:19
2014;W;8:30AM;Mary Keitany;104;2:25:07;05:33;25;1;(30-34);1;2;2:24:58;2:25:07;0:17:33;0:35:04;0:52:20;1:09:48;1:13:42;1:27:37;1:44:35;2:01:49;2:18:03
2014;W;8:30AM;Jemima Sumgong;106;2:25:10;05:33;27;2;(25-29);1;3;2:25:10;2:25:10;0:17:33;0:35:03;0:52:20;1:09:47;1:13:42;1:27:37;1:44:34;2:01:49;2:18:02
2014;W;8:30AM;Sara Moreira;116;2:26:00;05:35;31;3;(25-29);2;4;2:26:00;2:26:00;0:17:33;0:35:01;0:52:20;1:09:47;1:13:41;1:27:36;1:44:35;2:01:51;2:18:40
2014;W;8:30AM;Jelena Prokopcuka;103;2:26:15;05:35;32;4;(35-39);1;1;2:23:27;2:26:15;0:17:32;0:35:02;0:52:20;1:09:48;1:13:41;1:27:37;1:44:33;2:01:51;2:18:44
2014;W;8:30AM;Desiree Linden;109;2:28:11;05:40;40;5;(30-34);2;7;2:28:09;2:28:11;0:17:34;0:35:03;0:52:21;1:09:48;1:13:42;1:27:38;1:44:37;2:02:47;2:20:34
2014;W;8:30AM;Firehiwot Dado;108;2:28:36;05:41;41;6;(30-34);3;9;2:28:36;2:28:36;0:17:32;0:35:02;0:52:20;1:09:47;1:13:41;1:27:37;1:44:35;2:01:49;2:20:15
2014;W;8:30AM;Valeria Straneo;107;2:29:24;05:42;44;7;(35-39);2;5;2:26:32;2:29:24;0:17:32;0:35:02;0:52:19;1:09:47;1:13:42;1:27:38;1:44:37;2:02:59;2:21:29
2014;W;8:30AM;Buzunesh Deba;102;2:31:40;05:48;52;8;(25-29);3;10;2:31:40;2:31:40;0:17:32;0:35:02;0:52:20;1:09:46;1:13:41;1:27:39;1:44:34;2:03:11;2:22:55
2014;W;8:30AM;Annie Bersagel;115;2:33:02;05:51;59;9;(30-34);4;12;2:33:00;2:33:02;0:17:43;0:35:41;0:53:53;1:12:00;1:16:03;1:30:39;1:48:45;2:07:12;2:25:11
2014;W;8:30AM;Deena Kastor;110;2:33:18;05:51;61;10;(40-44);1;6;2:27:42;2:33:18;0:17:33;0:35:04;0:52:31;1:10:17;1:14:21;1:29:14;1:48:01;2:07:27;2:25:25
