Jahr;Ges;Name;Club;Category;Runner_Number;Place_Gender;Place_Category;Place_Overall;Start_Time_of_day;Finish_Time;Race_Status;Last_Split;5K_Time_of_day;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time_of_day;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time_of_day;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time_of_day;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time_of_day;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time_of_day;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time_of_day;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time_of_day;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time_of_day;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time_of_day;FK_Time;FK_Diff;FK_min_km;FK_kmh
2019;M;KIPCHOGE, Eliud (KEN);–;18-39;1;1;1;1;10:10:00;02:02:37;Finished;Finish;10:24:23;00:14:23;14:23;02:53;20.88;10:39:01;00:29:01;14:38;02:56;20.49;10:53:42;00:43:42;14:41;02:57;20.43;11:08:25;00:58:25;14:43;02:57;20.39;11:11:37;01:01:37;03:12;02:56;20.62;11:22:38;01:12:38;11:01;02:50;21.25;11:37:04;01:27:04;14:26;02:54;20.78;11:51:55;01:41:55;14:51;02:59;20.19;12:06:20;01:56:20;14:25;02:53;20.81;12:12:37;02:02:37;06:17;02:52;20.95
2019;M;GEREMEW, Mosinet (ETH);–;18-39;3;2;2;2;10:10:00;02:02:55;Finished;Finish;10:24:23;00:14:23;14:23;02:53;20.86;10:39:02;00:29:02;14:39;02:56;20.50;10:53:42;00:43:42;14:40;02:56;20.43;11:08:25;00:58:25;14:43;02:57;20.39;11:11:37;01:01:37;03:12;02:56;20.63;11:22:38;01:12:38;11:01;02:50;21.24;11:37:04;01:27:04;14:26;02:54;20.79;11:51:55;01:41:55;14:51;02:59;20.19;12:06:22;01:56:22;14:27;02:54;20.76;12:12:55;02:02:55;06:33;03:00;20.15
2019;M;WASIHUN, Mule (ETH);–;18-39;6;3;3;3;10:10:00;02:03:16;Finished;Finish;10:24:23;00:14:23;14:23;02:53;20.87;10:39:02;00:29:02;14:39;02:56;20.48;10:53:43;00:43:43;14:41;02:57;20.44;11:08:25;00:58:25;14:42;02:57;20.39;11:11:37;01:01:37;03:12;02:56;20.62;11:22:41;01:12:41;11:04;02:51;21.15;11:37:04;01:27:04;14:23;02:53;20.86;11:51:56;01:41:56;14:52;02:59;20.18;12:06:29;01:56:29;14:33;02:55;20.62;12:13:16;02:03:16;06:47;03:06;19.40
2019;M;KITATA, Tola Shura (ETH);–;18-39;7;4;4;4;10:10:00;02:05:01;Finished;Finish;10:24:23;00:14:23;14:23;02:53;20.87;10:39:01;00:29:01;14:38;02:56;20.49;10:53:42;00:43:42;14:41;02:57;20.43;11:08:25;00:58:25;14:43;02:57;20.39;11:11:37;01:01:37;03:12;02:56;20.61;11:22:38;01:12:38;11:01;02:50;21.25;11:37:04;01:27:04;14:26;02:54;20.78;11:51:56;01:41:56;14:52;02:59;20.19;12:07:03;01:57:03;15:07;03:02;19.83;12:15:01;02:05:01;07:58;03:38;16.52
2019;M;FARAH, Mo (GBR);–;18-39;8;5;5;5;10:10:00;02:05:39;Finished;Finish;10:24:24;00:14:24;14:24;02:53;20.84;10:39:03;00:29:03;14:39;02:56;20.49;10:53:44;00:43:44;14:41;02:57;20.43;11:08:26;00:58:26;14:42;02:57;20.40;11:11:38;01:01:38;03:12;02:56;20.55;11:22:45;01:12:45;11:07;02:51;21.08;11:37:28;01:27:28;14:43;02:57;20.39;11:52:42;01:42:42;15:14;03:03;19.69;12:08:22;01:58:22;15:40;03:08;19.15;12:15:39;02:05:39;07:17;03:20;18.11
2019;M;TOLA, Tamirat (ETH);–;18-39;5;6;6;6;10:10:00;02:06:57;Finished;Finish;10:24:24;00:14:24;14:24;02:53;20.85;10:39:02;00:29:02;14:38;02:56;20.49;10:53:43;00:43:43;14:41;02:57;20.44;11:08:25;00:58:25;14:42;02:57;20.39;11:11:37;01:01:37;03:12;02:56;20.61;11:22:45;01:12:45;11:08;02:52;21.02;11:38:25;01:28:25;15:40;03:08;19.15;11:54:55;01:44:55;16:30;03:18;18.19;12:10:23;02:00:23;15:28;03:06;19.39;12:16:57;02:06:57;06:34;03:00;20.07
2019;M;ABDI, Bashir (BEL);–;18-39;16;7;7;7;10:10:00;02:07:03;Finished;Finish;10:24:47;00:14:47;14:47;02:58;20.31;10:39:49;00:29:49;15:02;03:01;19.96;10:55:03;00:45:03;15:14;03:03;19.69;11:10:06;01:00:06;15:03;03:01;19.93;11:13:20;01:03:20;03:14;02:57;20.34;11:24:50;01:14:50;11:30;02:57;20.38;11:39:51;01:29:51;15:01;03:01;19.98;11:55:10;01:45:10;15:19;03:04;19.59;12:10:14;02:00:14;15:04;03:01;19.90;12:17:03;02:07:03;06:49;03:07;19.34
2019;M;GEBRESILASIE, Leul (ETH);–;18-39;4;8;8;8;10:10:00;02:07:15;Finished;Finish;10:24:23;00:14:23;14:23;02:53;20.86;10:39:01;00:29:01;14:38;02:56;20.50;10:53:43;00:43:43;14:42;02:57;20.42;11:08:26;00:58:26;14:43;02:57;20.39;11:11:37;01:01:37;03:11;02:55;20.63;11:22:39;01:12:39;11:02;02:50;21.24;11:37:29;01:27:29;14:50;02:58;20.22;11:53:33;01:43:33;16:04;03:13;18.67;12:09:52;01:59:52;16:19;03:16;18.39;12:17:15;02:07:15;07:23;03:22;17.84
2019;M;RACHIK, Yassine (ITA);–;18-39;19;9;9;9;10:10:00;02:08:05;Finished;Finish;10:24:47;00:14:47;14:47;02:58;20.31;10:39:49;00:29:49;15:02;03:01;19.95;10:55:03;00:45:03;15:14;03:03;19.69;11:10:06;01:00:06;15:03;03:01;19.93;11:13:20;01:03:20;03:14;02:57;20.34;11:24:50;01:14:50;11:30;02:57;20.36;11:39:50;01:29:50;15:00;03:00;20.00;11:55:21;01:45:21;15:31;03:07;19.34;12:10:55;02:00:55;15:34;03:07;19.28;12:18:05;02:08:05;07:10;03:16;18.35
2019;M;HAWKINS, Callum (GBR);–;18-39;15;10;10;10;10:10:00;02:08:14;Finished;Finish;10:24:47;00:14:47;14:47;02:58;20.31;10:39:48;00:29:48;15:01;03:01;19.97;10:55:04;00:45:04;15:16;03:04;19.66;11:10:06;01:00:06;15:02;03:01;19.96;11:13:21;01:03:21;03:15;02:58;20.24;11:24:50;01:14:50;11:29;02:57;20.40;11:39:50;01:29:50;15:00;03:00;19.99;11:55:21;01:45:21;15:31;03:07;19.35;12:10:54;02:00:54;15:33;03:07;19.29;12:18:14;02:08:14;07:20;03:21;17.98
2019;W;KOSGEI, Brigid (KEN);–;18-39;105;1;1;32;09:25:01;02:18:20;Finished;Finish;09:41:59;00:16:58;16:58;03:24;17.69;09:58:44;00:33:43;16:45;03:21;17.91;10:15:59;00:50:58;17:15;03:27;17.38;10:33:14;01:08:13;17:15;03:27;17.40;10:36:39;01:11:38;03:25;03:07;19.22;10:49:09;01:24:08;12:30;03:13;18.75;11:04:45;01:39:44;15:36;03:08;19.23;11:20:49;01:55:48;16:04;03:13;18.68;11:36:20;02:11:19;15:31;03:07;19.32;11:43:21;02:18:20;07:01;03:12;18.78
2019;W;CHERUIYOT, Vivian (KEN);–;18-39;101;2;2;35;09:25:01;02:20:14;Finished;Finish;09:41:59;00:16:58;16:58;03:24;17.69;09:58:43;00:33:42;16:44;03:21;17.92;10:15:59;00:50:58;17:16;03:28;17.38;10:33:14;01:08:13;17:15;03:27;17.40;10:36:39;01:11:38;03:25;03:07;19.21;10:49:09;01:24:08;12:30;03:13;18.75;11:04:47;01:39:46;15:38;03:08;19.18;11:20:52;01:55:51;16:05;03:13;18.67;11:37:25;02:12:24;16:33;03:19;18.13;11:45:15;02:20:14;07:50;03:35;16.79
2019;W;DEREJE, Roza (ETH);–;18-39;106;3;3;36;09:25:01;02:20:51;Finished;Finish;09:41:58;00:16:57;16:57;03:24;17.71;09:58:43;00:33:42;16:45;03:21;17.91;10:15:59;00:50:58;17:16;03:28;17.38;10:33:14;01:08:13;17:15;03:27;17.39;10:36:40;01:11:39;03:26;03:08;19.21;10:49:09;01:24:08;12:29;03:12;18.76;11:05:11;01:40:10;16:02;03:13;18.70;11:21:56;01:56:55;16:45;03:21;17.92;11:38:35;02:13:34;16:39;03:20;18.02;11:45:52;02:20:51;07:17;03:20;18.05
2019;W;CHERONO, Gladys (KEN);–;18-39;104;4;4;37;09:25:01;02:20:52;Finished;Finish;09:41:59;00:16:58;16:58;03:24;17.69;09:58:43;00:33:42;16:44;03:21;17.92;10:16:00;00:50:59;17:17;03:28;17.37;10:33:14;01:08:13;17:14;03:27;17.40;10:36:41;01:11:40;03:27;03:09;19.10;10:49:09;01:24:08;12:28;03:12;18.78;11:05:16;01:40:15;16:07;03:14;18.61;11:21:56;01:56:55;16:40;03:20;18.01;11:38:35;02:13:34;16:39;03:20;18.01;11:45:53;02:20:52;07:18;03:20;18.02
2019;W;KEITANY, Mary (KEN);–;18-39;102;5;5;38;09:25:01;02:20:58;Finished;Finish;09:41:59;00:16:58;16:58;03:24;17.69;09:58:43;00:33:42;16:44;03:21;17.93;10:15:59;00:50:58;17:16;03:28;17.37;10:33:14;01:08:13;17:15;03:27;17.39;10:36:41;01:11:40;03:27;03:09;19.14;10:49:09;01:24:08;12:28;03:12;18.76;11:05:15;01:40:14;16:06;03:14;18.64;11:21:56;01:56:55;16:41;03:21;17.98;11:38:35;02:13:34;16:39;03:20;18.02;11:45:59;02:20:58;07:24;03:23;17.80
2019;W;SISSON, Emily (USA);–;18-39;133;6;6;42;09:25:01;02:23:08;Finished;Finish;09:41:58;00:16:57;16:57;03:24;17.70;09:58:44;00:33:43;16:46;03:22;17.90;10:16:00;00:50:59;17:16;03:28;17.37;10:33:15;01:08:14;17:15;03:27;17.39;10:36:50;01:11:49;03:35;03:16;18.32;10:49:51;01:24:50;13:01;03:21;18.01;11:06:42;01:41:41;16:51;03:23;17.79;11:23:48;01:58:47;17:06;03:26;17.56;11:40:40;02:15:39;16:52;03:23;17.78;11:48:09;02:23:08;07:29;03:25;17.59
