Jahr;Ges;Name;Club;Category;Runner_Number;Place_Gender;Place_Category;Place_Overall;Start_Time_of_day;Finish_Time;Race_Status;Last_Split;5K_Time_of_day;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time_of_day;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time_of_day;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time_of_day;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time_of_day;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time_of_day;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time_of_day;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time_of_day;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time_of_day;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time_of_day;FK_Time;FK_Diff;FK_min_km;FK_kmh
2018;M;KIPCHOGE, Eliud (KEN);;18-39;3;1;1;1;10:00:11;02:04:17;Finished;Finish;10:13:59;00:13:48;13:48;02:46;21.76;10:28:30;00:28:19;14:31;02:55;20.67;10:43:16;00:43:05;14:46;02:58;20.31;10:58:03;00:57:52;14:47;02:58;20.28;11:01:11;01:01:00;03:08;02:52;21.06;11:12:47;01:12:36;11:36;02:59;20.19;11:27:35;01:27:24;14:48;02:58;20.27;11:42:44;01:42:33;15:09;03:02;19.80;11:57:46;01:57:35;15:02;03:01;19.95;12:04:28;02:04:17;06:42;03:04;19.67
2018;M;KITATA, Tola Shura (ETH);;18-39;8;2;2;2;10:00:11;02:04:49;Finished;Finish;10:13:59;00:13:48;13:48;02:46;21.74;10:28:30;00:28:19;14:31;02:55;20.67;10:43:16;00:43:05;14:46;02:58;20.32;10:58:03;00:57:52;14:47;02:58;20.28;11:01:11;01:01:00;03:08;02:52;21.05;11:12:47;01:12:36;11:36;02:59;20.19;11:27:35;01:27:24;14:48;02:58;20.27;11:42:44;01:42:33;15:09;03:02;19.80;11:57:57;01:57:46;15:13;03:03;19.71;12:05:00;02:04:49;07:03;03:13;18.67
2018;M;FARAH, Mo (GBR);;18-39;13;3;3;3;10:00:11;02:06:21;Finished;Finish;10:14:01;00:13:50;13:50;02:46;21.69;10:28:31;00:28:20;14:30;02:54;20.69;10:43:17;00:43:06;14:46;02:58;20.32;10:58:05;00:57:54;14:48;02:58;20.28;11:01:14;01:01:03;03:09;02:53;20.81;11:12:47;01:12:36;11:33;02:58;20.28;11:27:42;01:27:31;14:55;02:59;20.12;11:43:26;01:43:15;15:44;03:09;19.07;11:59:21;01:59:10;15:55;03:11;18.85;12:06:32;02:06:21;07:11;03:17;18.31
2018;M;KIRUI, Abel (KEN);;18-39;6;4;4;4;10:00:11;02:07:07;Finished;Finish;10:13:59;00:13:48;13:48;02:46;21.75;10:28:30;00:28:19;14:31;02:55;20.67;10:43:16;00:43:05;14:46;02:58;20.30;10:58:04;00:57:53;14:48;02:58;20.28;11:01:12;01:01:01;03:08;02:52;21.04;11:12:53;01:12:42;11:41;03:00;20.03;11:28:11;01:28:00;15:18;03:04;19.62;11:43:49;01:43:38;15:38;03:08;19.18;11:59:51;01:59:40;16:02;03:13;18.72;12:07:18;02:07:07;07:27;03:24;17.68
2018;M;KAROKI, Bedan (KEN);;18-39;9;5;5;5;10:00:11;02:08:34;Finished;Finish;10:14:01;00:13:50;13:50;02:46;21.71;10:28:31;00:28:20;14:30;02:54;20.69;10:43:17;00:43:06;14:46;02:58;20.31;10:58:04;00:57:53;14:47;02:58;20.29;11:01:11;01:01:00;03:07;02:51;21.09;11:12:48;01:12:37;11:37;02:59;20.17;11:27:55;01:27:44;15:07;03:02;19.84;11:44:12;01:44:01;16:17;03:16;18.44;12:00:55;02:00:44;16:43;03:21;17.94;12:08:45;02:08:34;07:50;03:35;16.81
2018;M;BEKELE, Kenenisa (ETH);;18-39;2;6;6;6;10:00:11;02:08:53;Finished;Finish;10:13:59;00:13:48;13:48;02:46;21.74;10:28:31;00:28:20;14:32;02:55;20.65;10:43:17;00:43:06;14:46;02:58;20.33;10:58:04;00:57:53;14:47;02:58;20.28;11:01:12;01:01:01;03:08;02:52;21.09;11:12:49;01:12:38;11:37;02:59;20.16;11:28:41;01:28:30;15:52;03:11;18.90;11:44:56;01:44:45;16:15;03:15;18.47;12:01:33;02:01:22;16:37;03:20;18.05;12:09:04;02:08:53;07:31;03:26;17.53
2018;M;CHERONO, Lawrence (KEN);;18-39;7;7;7;7;10:00:11;02:09:25;Finished;Finish;10:14:00;00:13:49;13:49;02:46;21.73;10:28:30;00:28:19;14:30;02:54;20.68;10:43:19;00:43:08;14:49;02:58;20.26;10:58:33;00:58:22;15:14;03:03;19.69;11:01:45;01:01:34;03:12;02:56;20.55;11:13:56;01:13:45;12:11;03:08;19.21;11:29:57;01:29:46;16:01;03:13;18.73;11:46:23;01:46:12;16:26;03:18;18.25;12:02:28;02:02:17;16:05;03:13;18.66;12:09:36;02:09:25;07:08;03:15;18.44
2018;M;WANJIRU, Daniel (KEN);;18-39;1;8;8;8;10:00:11;02:10:35;Finished;Finish;10:13:59;00:13:48;13:48;02:46;21.75;10:28:30;00:28:19;14:31;02:55;20.67;10:43:16;00:43:05;14:46;02:58;20.31;10:58:04;00:57:53;14:48;02:58;20.27;11:01:12;01:01:01;03:08;02:52;21.07;11:12:50;01:12:39;11:38;02:59;20.13;11:28:24;01:28:13;15:34;03:07;19.27;11:45:42;01:45:31;17:18;03:28;17.34;12:03:09;02:02:58;17:27;03:30;17.20;12:10:46;02:10:35;07:37;03:29;17.28
2018;M;MESEL, Amanuel (ERI);;18-39;12;9;9;9;10:00:11;02:11:52;Finished;Finish;10:15:07;00:14:56;14:56;03:00;20.10;10:30:18;00:30:07;15:11;03:03;19.75;10:45:33;00:45:22;15:15;03:03;19.69;11:00:55;01:00:44;15:22;03:05;19.52;11:04:07;01:03:56;03:12;02:56;20.51;11:16:14;01:16:03;12:07;03:07;19.33;11:31:43;01:31:32;15:29;03:06;19.38;11:47:35;01:47:24;15:52;03:11;18.92;12:04:10;02:03:59;16:35;03:19;18.09;12:12:03;02:11:52;07:53;03:36;16.69
2018;M;GEBREGERGISH, Yohanes (ERI);;18-39;11;10;10;10;10:00:11;02:12:09;Finished;Finish;10:15:07;00:14:56;14:56;03:00;20.09;10:30:17;00:30:06;15:10;03:02;19.78;10:45:15;00:45:04;14:58;03:00;20.04;11:00:33;01:00:22;15:18;03:04;19.63;11:03:46;01:03:35;03:13;02:56;20.37;11:15:55;01:15:44;12:09;03:07;19.29;11:31:36;01:31:25;15:41;03:09;19.12;11:47:35;01:47:24;15:59;03:12;18.78;12:04:13;02:04:02;16:38;03:20;18.04;12:12:20;02:12:09;08:07;03:42;16.20
