Jahr;Ges;Name;Club;Category;Runner_Number;Place_Gender;Place_Category;Place_Overall;Start_Time_of_day;Finish_Time;Race_Status;Last_Split;5K_Time_of_day;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time_of_day;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time_of_day;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time_of_day;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time_of_day;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time_of_day;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time_of_day;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time_of_day;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time_of_day;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time_of_day;FK_Time;FK_Diff;FK_min_km;FK_kmh
2010;M;Kebede, Tsegaye (ETH);;18-39;5;1;1;1;09:45:00;02:05:19;;;;00:14:40;;;;;00:29:42;;;;;00:44:51;;;;;00:59:54;;;;;01:03:07;;;;;01:14:19;;;;;01:28:46;;;;;01:43:30;;;;;01:58:41;;;;;;;;
2010;M;Mutai, Emmanuel (KEN);;18-39;7;2;2;2;09:45:00;02:06:23;;;;00:14:40;;;;;00:29:42;;;;;00:44:51;;;;;00:59:54;;;;;01:03:06;;;;;01:14:20;;;;;01:28:52;;;;;01:44:05;;;;;01:59:39;;;;;;;;
2010;M;Gharib, Jaouad (MAR);;18-39;6;3;3;3;09:45:00;02:06:55;;;;00:14:40;;;;;00:29:42;;;;;00:44:52;;;;;00:59:54;;;;;01:03:07;;;;;01:14:21;;;;;01:29:01;;;;;01:44:25;;;;;02:00:15;;;;;;;;
2010;M;Bouramdane, Abderrahime (MAR);;18-39;9;4;4;4;09:45:00;02:07:33;;;;00:14:40;;;;;00:29:42;;;;;00:44:52;;;;;00:59:54;;;;;01:03:07;;;;;01:14:20;;;;;01:29:00;;;;;01:44:26;;;;;02:00:36;;;;;;;;
2010;M;Kirui, Abel (KEN);;18-39;3;5;5;5;09:45:00;02:08:04;;;;00:14:40;;;;;00:29:42;;;;;00:44:51;;;;;00:59:53;;;;;01:03:06;;;;;01:14:19;;;;;01:28:46;;;;;01:43:37;;;;;01:59:46;;;;;;;;
2010;M;Gomes dos Santos, Marilson (BRA);;18-39;10;6;6;6;09:45:00;02:08:46;;;;00:15:09;;;;;00:29:53;;;;;00:44:52;;;;;00:59:54;;;;;01:03:07;;;;;01:14:21;;;;;01:29:23;;;;;01:45:29;;;;;02:01:44;;;;;;;;
2010;M;Tadese, Zersenay (ERI);;18-39;16;7;7;7;09:45:00;02:12:03;;;;00:14:40;;;;;00:29:42;;;;;00:44:51;;;;;00:59:54;;;;;01:03:07;;;;;01:14:23;;;;;01:29:06;;;;;01:44:42;;;;;02:03:13;;;;;;;;
2010;M;Lemoncello, Andrew (GBR);;18-39;17;8;8;8;09:45:00;02:13:40;;;;00:15:10;;;;;00:30:49;;;;;00:46:25;;;;;01:02:06;;;;;01:05:27;;;;;01:17:38;;;;;01:33:32;;;;;01:49:53;;;;;02:06:32;;;;;;;;
2010;M;Kifle, Yonas (ERI);;18-39;8;9;9;9;09:45:00;02:14:39;;;;00:14:39;;;;;00:29:41;;;;;00:44:51;;;;;00:59:54;;;;;01:03:06;;;;;01:14:42;;;;;01:30:09;;;;;01:46:28;;;;;02:06:41;;;;;;;;
2010;M;Jones, Andi (GBR);;18-39;21;10;10;10;09:45:00;02:16:38;;;;00:15:10;;;;;00:30:49;;;;;00:46:25;;;;;01:02:19;;;;;01:05:45;;;;;01:18:13;;;;;01:34:35;;;;;01:51:30;;;;;02:08:54;;;;;;;;
