Jahr;Ges;Name;Club;Category;Runner_Number;Place_Gender;Place_Category;Place_Overall;Start_Time_of_day;Finish_Time;Race_Status;Last_Split;5K_Time_of_day;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time_of_day;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time_of_day;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time_of_day;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time_of_day;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time_of_day;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time_of_day;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time_of_day;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time_of_day;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time_of_day;FK_Time;FK_Diff;FK_min_km;FK_kmh
2017;M;WANJIRU, Daniel (KEN);;18-39;6;1;1;1;10:00:00;02:05:48;Finished;Finish;10:14:12;00:14:12;14:12;02:51;21.14;10:28:52;00:28:52;14:40;02:56;20.46;10:43:41;00:43:41;14:49;02:58;20.25;10:58:31;00:58:31;14:50;02:58;20.22;11:01:43;01:01:43;03:12;02:56;20.52;11:13:10;01:13:10;11:27;02:57;20.47;11:28:21;01:28:21;15:11;03:03;19.76;11:43:42;01:43:42;15:21;03:05;19.55;11:59:09;01:59:09;15:27;03:06;19.42;12:05:48;02:05:48;06:39;03:02;19.76
2017;M;BEKELE, Kenenisa (ETH);;18-39;1;2;2;2;10:00:00;02:05:57;Finished;Finish;10:14:12;00:14:12;14:12;02:51;21.15;10:28:51;00:28:51;14:39;02:56;20.47;10:43:40;00:43:40;14:49;02:58;20.26;10:58:31;00:58:31;14:51;02:59;20.21;11:01:44;01:01:44;03:13;02:56;20.47;11:13:16;01:13:16;11:32;02:58;20.29;11:28:38;01:28:38;15:22;03:05;19.54;11:43:56;01:43:56;15:18;03:04;19.59;11:59:18;01:59:18;15:22;03:05;19.52;12:05:57;02:05:57;06:39;03:02;19.81
2017;M;KAROKI, Bedan (KEN);;18-39;35;3;3;3;10:00:00;02:07:41;Finished;Finish;10:14:12;00:14:12;14:12;02:51;21.14;10:28:52;00:28:52;14:40;02:56;20.46;10:43:41;00:43:41;14:49;02:58;20.23;10:58:31;00:58:31;14:50;02:58;20.23;11:01:42;01:01:42;03:11;02:55;20.65;11:13:11;01:13:11;11:29;02:57;20.40;11:28:21;01:28:21;15:10;03:02;19.79;11:43:52;01:43:52;15:31;03:07;19.33;11:59:56;01:59:56;16:04;03:13;18.67;12:07:41;02:07:41;07:45;03:32;16.99
2017;M;KIRUI, Abel (KEN);;18-39;5;4;4;4;10:00:00;02:07:45;Finished;Finish;10:14:13;00:14:13;14:13;02:51;21.12;10:28:52;00:28:52;14:39;02:56;20.47;10:43:42;00:43:42;14:50;02:58;20.23;10:58:32;00:58:32;14:50;02:58;20.23;11:01:43;01:01:43;03:11;02:55;20.67;11:13:11;01:13:11;11:28;02:57;20.42;11:28:21;01:28:21;15:10;03:02;19.78;11:43:56;01:43:56;15:35;03:07;19.24;12:00:11;02:00:11;16:15;03:15;18.45;12:07:45;02:07:45;07:34;03:27;17.41
2017;M;SIMBU, Alphonce (TAN);;18-39;11;5;5;5;10:00:00;02:09:10;Finished;Finish;10:14:35;00:14:35;14:35;02:55;20.57;10:29:31;00:29:31;14:56;03:00;20.11;10:44:30;00:44:30;14:59;03:00;20.02;10:59:31;00:59:31;15:01;03:01;19.97;11:02:45;01:02:45;03:14;02:57;20.30;11:14:38;01:14:38;11:53;03:03;19.73;11:29:54;01:29:54;15:16;03:04;19.64;11:45:42;01:45:42;15:48;03:10;18.98;12:01:48;02:01:48;16:06;03:14;18.63;12:09:10;02:09:10;07:22;03:22;17.91
2017;M;GHEBRESLASSIE, Ghirmay (ERI);;18-39;8;6;6;6;10:00:00;02:09:57;Finished;Finish;10:14:12;00:14:12;14:12;02:51;21.15;10:28:51;00:28:51;14:39;02:56;20.46;10:43:40;00:43:40;14:49;02:58;20.25;10:58:31;00:58:31;14:51;02:59;20.22;11:01:44;01:01:44;03:13;02:56;20.46;11:13:15;01:13:15;11:31;02:58;20.31;11:28:21;01:28:21;15:06;03:02;19.88;11:44:09;01:44:09;15:48;03:10;18.98;12:01:36;02:01:36;17:27;03:30;17.19;12:09:57;02:09:57;08:21;03:49;15.77
2017;M;MENGSTU, Asefa (ETH);;18-39;10;7;7;7;10:00:00;02:10:04;Finished;Finish;10:14:12;00:14:12;14:12;02:51;21.13;10:28:51;00:28:51;14:39;02:56;20.47;10:43:40;00:43:40;14:49;02:58;20.25;10:58:30;00:58:30;14:50;02:58;20.22;11:01:41;01:01:41;03:11;02:55;20.73;11:13:16;01:13:16;11:35;02:59;20.21;11:28:42;01:28:42;15:26;03:06;19.45;11:44:42;01:44:42;16:00;03:12;18.74;12:02:05;02:02:05;17:23;03:29;17.26;12:10:04;02:10:04;07:59;03:39;16.48
2017;M;MESEL, Amanuel (ERI);;18-39;9;8;8;8;10:00:00;02:10:44;Finished;Finish;10:14:13;00:14:13;14:13;02:51;21.13;10:28:52;00:28:52;14:39;02:56;20.47;10:43:42;00:43:42;14:50;02:58;20.23;10:58:31;00:58:31;14:49;02:58;20.23;11:01:44;01:01:44;03:13;02:56;20.52;11:13:32;01:13:32;11:48;03:02;19.83;11:29:03;01:29:03;15:31;03:07;19.34;11:45:19;01:45:19;16:16;03:16;18.46;12:02:35;02:02:35;17:16;03:28;17.36;12:10:44;02:10:44;08:09;03:43;16.16
2017;M;GUERRA, Javier (ESP);;18-39;13;9;9;9;10:00:00;02:10:55;Finished;Finish;10:15:09;00:15:09;15:09;03:02;19.81;10:30:46;00:30:46;15:37;03:08;19.21;10:46:11;00:46:11;15:25;03:05;19.45;11:01:41;01:01:41;15:30;03:06;19.36;11:04:58;01:04:58;03:17;03:00;20.10;11:17:18;01:17:18;12:20;03:10;18.98;11:33:09;01:33:09;15:51;03:11;18.91;11:48:37;01:48:37;15:28;03:06;19.40;12:04:09;02:04:09;15:32;03:07;19.33;12:10:55;02:10:55;06:46;03:05;19.47
2017;M;SHELLEY, Michael (AUS);;18-39;18;10;10;10;10:00:00;02:11:38;Finished;Finish;10:15:18;00:15:18;15:18;03:04;19.61;10:30:59;00:30:59;15:41;03:09;19.14;10:46:32;00:46:32;15:33;03:07;19.29;11:02:07;01:02:07;15:35;03:07;19.26;11:05:28;01:05:28;03:21;03:04;19.59;11:17:33;01:17:33;12:05;03:06;19.38;11:33:10;01:33:10;15:37;03:08;19.21;11:48:42;01:48:42;15:32;03:07;19.32;12:04:30;02:04:30;15:48;03:10;18.99;12:11:38;02:11:38;07:08;03:15;18.44
