Jahr;Ges;Name;Number;Time;Time_Chip ;Place;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2012;M;マイケル・キピエゴ;4;2:07:37;2:07:35;1;0:14:39;0:29:35;0:44:40;0:59:35;1:02:51;1:14:17;1:29:27;1:45:06;2:00:35;2:07:37
2012;M;藤原　新;13;2:07:48;2:07:47;2;0:14:51;0:29:56;0:44:52;1:00:01;1:03:21;1:15:13;1:30:19;1:45:25;2:01:07;2:07:48
2012;M;スティーブン・キプロティチ;5;2:07:50;2:07:48;3;0:14:40;0:29:35;0:44:40;0:59:36;1:02:52;1:14:20;1:29:51;1:45:25;2:00:51;2:07:50
2012;M;ハイレ・ゲブレシラシエ;1;2:08:17;2:08:15;4;0:14:39;0:29:35;0:44:40;0:59:35;1:02:52;1:14:15;1:29:07;1:44:41;2:00:54;2:08:17
2012;M;ビクトル・ロスリン;6;2:08:32;2:08:31;5;0:14:51;0:29:55;0:44:52;1:00:01;1:03:22;1:15:14;1:30:37;1:46:08;2:01:47;2:08:32
2012;M;前田　和浩;14;2:08:38;2:08:37;6;0:14:52;0:29:55;0:44:53;1:00:02;1:03:21;1:15:13;1:30:36;1:46:08;2:01:49;2:08:38
2012;M;松宮　隆行;15;2:09:28;2:09:27;7;0:14:51;0:29:55;0:44:51;1:00:01;1:03:21;1:15:12;1:30:37;1:46:07;2:02:14;2:09:28
2012;M;ハイル・メコネン;7;2:09:59;2:09:58;8;0:14:39;0:29:35;0:44:40;0:59:35;1:02:51;1:14:15;1:29:07;1:44:41;2:01:52;2:09:59
2012;M;熊本　剛;131;2:10:13;2:10:12;9;0:14:52;0:29:56;0:44:52;1:00:01;1:03:21;1:15:13;1:30:36;1:46:35;2:02:52;2:10:13
2012;M;井川　重史;102;2:11:26;2:11:24;10;0:14:52;0:29:56;0:44:52;1:00:00;1:03:20;1:15:15;1:30:56;1:47:16;2:04:00;2:11:26
2012;W;アツェデ・ハブタム;22;2:25:28;2:25:26;1;0:17:00;0:34:33;0:52:00;1:09:32;1:13:25;1:26:52;1:44:02;2:01:12;2:18:02;2:25:28
2012;W;イエシ・イセイアス;26;2:26:00;2:25:58;2;0:17:00;0:34:34;0:52:01;1:09:32;1:13:25;1:26:53;1:44:02;2:01:13;2:18:23;2:26:00
2012;W;ヘレナ・キロップ;21;2:26:02;2:26:00;3;0:16:59;0:34:33;0:52:00;1:09:33;1:13:25;1:26:53;1:44:02;2:01:13;2:18:24;2:26:02
2012;W;大久保　絵里;33;2:26:08;2:26:07;4;0:16:54;0:33:40;0:50:40;1:07:50;1:11:40;1:25:19;1:42:48;2:00:19;2:18:10;2:26:08
2012;W;タチアナ・アルヒポワ;24;2:26:46;2:26:44;5;0:17:32;0:34:52;0:52:16;1:09:42;1:13:32;1:27:05;1:44:19;2:01:47;2:19:10;2:26:46
2012;W;リシャン・ドゥラ;28;2:28:22;2:28:21;6;0:17:00;0:34:33;0:52:01;1:09:33;1:13:25;1:26:53;1:44:02;2:01:43;2:20:12;2:28:22
2012;W;イエルサレム・クマ;23;2:28:36;2:28:35;7;0:17:00;0:34:33;0:52:01;1:09:33;1:13:25;1:26:53;1:44:02;2:01:47;2:20:49;2:28:36
2012;W;カテリナ・ステツェンコ;29;2:28:38;2:28:36;8;0:17:32;0:34:52;0:52:14;1:09:41;1:13:31;1:27:05;1:44:32;2:02:23;2:20:48;2:28:38
2012;W;アドリアナ・ダシルバ;30;2:29:17;2:29:16;9;0:17:37;0:35:39;0:53:31;1:11:16;1:15:06;1:28:50;1:46:34;2:04:16;2:21:49;2:29:17
2012;W;鈴木　澄子;202;2:29:25;2:29:23;10;0:17:27;0:34:52;0:52:15;1:09:41;1:13:28;1:27:08;1:44:46;2:02:52;2:21:17;2:29:25
