Jahr;Ges;Name;Number;Time;Time_Chip ;Place;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2013;M;デニス・キメット;1;2:06:50;2:06:50;1;0:15:15;0:30:16;0:45:20;1:00:52;1:04:22;1:16:13;1:31:21;1:45:41;2:00:16;2:06:50
2013;M;マイケル・キピエゴ;9;2:06:58;2:06:58;2;0:15:15;0:30:17;0:45:21;1:00:52;1:04:23;1:16:13;1:31:21;1:45:46;2:00:22;2:06:58
2013;M;バーナード・キピエゴ;8;2:07:53;2:07:53;3;0:15:16;0:30:17;0:45:21;1:00:53;1:04:23;1:16:13;1:31:22;1:46:00;2:00:59;2:07:53
2013;M;前田　和浩;22;2:08:00;2:07:59;4;0:15:17;0:30:18;0:45:21;1:00:54;1:04:24;1:16:14;1:31:23;1:46:02;2:01:20;2:08:00
2013;M;ジェームズ・クワンバイ;2;2:08:02;2:08:01;5;0:15:17;0:30:18;0:45:22;1:00:52;1:04:23;1:16:14;1:31:21;1:45:49;2:01:01;2:08:02
2013;M;ギルバート・キルワ;6;2:08:17;2:08:16;6;0:15:16;0:30:17;0:45:23;1:00:55;1:04:24;1:16:13;1:31:22;1:45:49;2:01:14;2:08:17
2013;M;フェイサ・ベケレ;7;2:09:05;2:09:05;7;0:15:15;0:30:17;0:45:20;1:00:52;1:04:23;1:16:13;1:31:22;1:46:44;2:02:27;2:09:05
2013;M;ディノ・セフィル;3;2:09:13;2:09:13;8;0:15:15;0:30:16;0:45:20;1:00:52;1:04:23;1:16:13;1:31:22;1:46:08;2:02:17;2:09:13
2013;M;松宮　隆行;24;2:09:14;2:09:13;9;0:15:17;0:30:18;0:45:23;1:00:54;1:04:24;1:16:14;1:31:23;1:46:45;2:02:32;2:09:14
2013;M;ジョナサン・マイヨ;4;2:10:18;2:10:18;10;0:15:14;0:30:17;0:45:23;1:00:54;1:04:25;1:16:14;1:31:22;1:45:54;2:02:27;2:10:18
2013;W;アベル・ケベデ;33;2:25:34;2:25:34;1;0:16:50;0:33:31;0:50:21;1:07:52;1:11:50;1:25:21;1:42:39;2:00:21;2:17:51;2:25:34
2013;W;イエシ・イセイアス;38;2:26:01;2:26:00;2;0:17:00;0:34:09;0:51:14;1:08:20;1:12:06;1:25:21;1:42:39;2:00:21;2:18:04;2:26:01
2013;W;イリーナ・ミキテンコ;31;2:26:41;2:26:41;3;0:17:16;0:34:16;0:51:26;1:09:04;1:13:00;1:26:48;1:44:39;2:02:03;2:19:24;2:26:41
2013;W;アルビナ・マヨロワ;36;2:26:51;2:26:50;4;0:17:19;0:34:37;0:51:54;1:09:33;1:13:26;1:27:13;1:44:53;2:02:03;2:19:16;2:26:51
2013;W;尾崎　好美;41;2:28:30;2:28:30;5;0:17:02;0:34:08;0:51:19;1:09:04;1:13:01;1:26:50;1:44:53;2:02:37;2:20:37;2:28:30
2013;W;ヘラリア・ジョアンネス;39;2:29:20;2:29:20;6;0:17:03;0:34:09;0:51:14;1:08:54;1:12:53;1:26:48;1:44:55;2:02:59;2:21:20;2:29:20
2013;W;吉川　美香;245;2:30:20;2:30:18;7;0:17:23;0:35:04;0:52:36;1:10:39;1:14:41;1:28:52;1:47:07;2:05:08;2:22:51;2:30:20
2013;W;ナスタシア・スタラボイタワ;40;2:30:45;2:30:44;8;0:17:33;0:35:04;0:52:35;1:10:39;1:14:36;1:28:36;1:47:01;2:05:09;2:23:06;2:30:45
2013;W;野尻　あずさ;42;2:31:15;2:31:14;9;0:16:48;0:33:31;0:50:21;1:08:08;1:12:06;1:26:14;1:44:47;2:03:48;2:22:51;2:31:15
2013;W;吉冨　博子;205;2:31:28;2:31:26;10;0:17:48;0:35:25;0:53:06;1:11:10;1:15:10;1:28:52;1:47:01;2:05:10;2:23:19;2:31:28
