Jahr;Ges;Name;Number;Time;Time_Chip ;Place;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2014;M;ディクソン・チュンバ;7;2:05:42;2:05:41;1;0:14:52;0:29:39;0:44:35;0:59:44;1:03:03;1:14:51;1:30:02;1:44:58;1:59:19;2:05:42
2014;M;タデセ・トラ;2;2:05:57;2:05:56;2;0:14:52;0:29:39;0:44:35;0:59:44;1:03:03;1:14:51;1:30:02;1:44:58;1:59:20;2:05:57
2014;M;サミー・キトワラ;4;2:06:30;2:06:28;3;0:14:52;0:29:40;0:44:35;0:59:44;1:03:03;1:14:50;1:30:02;1:44:58;1:59:45;2:06:30
2014;M;マイケル・キピエゴ;3;2:06:58;2:06:57;4;0:14:53;0:29:40;0:44:35;0:59:44;1:03:03;1:14:50;1:30:02;1:44:58;1:59:56;2:06:58
2014;M;ピーター・ソメ;5;2:07:05;2:07:04;5;0:14:52;0:29:40;0:44:35;0:59:44;1:03:04;1:14:51;1:30:02;1:44:58;2:00:22;2:07:05
2014;M;ジョフリー・キプサング;8;2:07:37;2:07:36;6;0:14:53;0:29:40;0:44:35;0:59:44;1:03:03;1:14:51;1:30:02;1:44:58;2:00:01;2:07:37
2014;M;デレサ・チムサ;6;2:07:40;2:07:39;7;0:14:52;0:29:40;0:44:35;0:59:45;1:03:04;1:14:51;1:30:03;1:45:05;2:00:29;2:07:40
2014;M;松村　康平;26;2:08:09;2:08:08;8;0:14:53;0:29:41;0:44:36;0:59:45;1:03:05;1:14:51;1:30:15;1:45:58;2:01:26;2:08:09
2014;M;小林　光二;103;2:08:51;2:08:49;9;0:14:54;0:29:41;0:44:36;0:59:45;1:03:05;1:14:52;1:30:15;1:45:59;2:01:52;2:08:51
2014;M;アベル・キルイ;1;2:09:04;2:09:02;10;0:14:52;0:29:39;0:44:35;0:59:44;1:03:02;1:14:50;1:30:03;1:45:34;2:01:39;2:09:04
2014;W;ティルフィ・ツェガエ;32;2:22:23;2:22:22;1;0:17:20;0:34:18;0:51:08;1:08:05;1:11:48;1:24:45;1:41:27;1:58:30;2:15:02;2:22:23
2014;W;ベルハネ・ディババ;34;2:22:30;2:22:29;2;0:17:20;0:34:18;0:51:08;1:08:06;1:11:50;1:24:45;1:41:27;1:58:30;2:15:02;2:22:30
2014;W;ルーシー・カブー;31;2:24:16;2:24:15;3;0:17:20;0:34:19;0:51:09;1:08:06;1:11:50;1:24:46;1:41:28;1:58:33;2:16:18;2:24:16
2014;W;キャロライン・ロティチ;36;2:24:35;2:24:34;4;0:17:21;0:34:19;0:51:08;1:08:06;1:11:49;1:24:46;1:41:28;1:58:30;2:16:05;2:24:35
2014;W;ジャネット・ロノ;39;2:26:03;2:26:02;5;0:17:20;0:34:18;0:51:08;1:08:05;1:11:50;1:24:45;1:42:18;2:00:04;2:18:12;2:26:03
2014;W;アルビナ・マヨロワ;38;2:28:18;2:28:17;6;0:17:24;0:34:48;0:52:10;1:09:43;1:13:35;1:27:16;1:44:51;2:02:35;2:20:48;2:28:18
2014;W;伊藤　舞;41;2:28:36;2:28:35;7;0:17:19;0:34:18;0:51:07;1:08:05;1:11:49;1:25:18;1:43:22;2:01:42;2:20:31;2:28:36
2014;W;新宅　里香;205;2:31:15;2:31:13;8;0:17:19;0:34:18;0:51:07;1:08:10;1:12:05;1:26:26;1:45:18;2:04:11;2:23:05;2:31:15
2014;W;上谷田　愛美;207;2:31:34;2:31:33;9;0:17:33;0:35:17;0:52:58;1:10:53;1:14:54;1:28:55;1:47:20;2:05:21;2:23:38;2:31:34
2014;W;吉冨　博子;203;2:32:38;2:32:35;10;0:17:34;0:35:17;0:52:57;1:10:52;1:14:53;1:28:55;1:47:20;2:05:33;2:24:13;2:32:38
