Jahr;Ges;Name;Number;Time;Time_Chip ;Place;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2008;M;ビクトル・ロスリン;2;2:07:23;2:07:21;1;0:14:55;0:29:59;0:45:03;1:00:19;1:03:44;1:15:35;1:30:48;1:45:57;2:00:56;2:07:23
2008;M;藤原 新;183;2:08:40;2:08:38;2;0:14:57;0:30:00;0:45:03;1:00:18;1:03:44;1:15:35;1:30:49;1:45:58;2:01:40;2:08:40
2008;M;Julius Gitahi;110;2:08:57;2:08:54;3;0:14:56;0:30:00;0:45:04;1:00:19;1:03:45;1:15:35;1:30:48;1:45:57;2:01:45;2:08:57
2008;M;諏訪 利成;31;2:09:16;2:09:14;4;0:14:57;0:29:59;0:45:04;1:00:20;1:03:45;1:15:35;1:30:48;1:46:19;2:02:11;2:09:16
2008;M;入船 敏;32;2:09:40;2:09:35;5;0:14:56;0:30:00;0:45:03;1:00:19;1:03:44;1:15:34;1:30:48;1:46:06;2:02:14;2:09:40
2008;M;梅木 蔵雄;36;2:11:00;2:10:58;6;0:14:56;0:30:00;0:45:02;1:00:19;1:03:44;1:15:35;1:30:48;1:46:06;2:03:00;2:11:00
2008;M;小林 誠治;109;2:11:02;2:11:00;7;0:14:56;0:29:59;0:45:02;1:00:18;1:03:43;1:15:35;1:31:17;1:47:33;2:03:55;2:11:02
2008;M;高塚 和利;107;2:11:15;2:11:13;8;0:14:57;0:30:00;0:45:03;1:00:19;1:03:44;1:15:35;1:30:48;1:47:04;2:03:48;2:11:15
2008;M;堀端 宏行;187;2:11:47;2:11:45;9;0:14:55;0:30:00;0:45:03;1:00:19;1:03:44;1:15:35;1:31:16;1:47:33;2:04:21;2:11:47
2008;M;太田 崇;182;2:12:10;2:12:07;10;0:14:56;0:29:59;0:45:03;1:00:19;1:03:44;1:15:35;1:31:03;1:47:12;2:04:15;2:12:10
2008;W;Claudia Dreher;50000;2:35:35;2:35:34;1;0:17:45;0:35:44;0:54:02;1:12:31;1:16:37;1:31:12;1:49:58;2:08:42;2:27:26;2:35:35
2008;W;水谷 理紗;15001;2:48:59;2:48:23;2;0:19:25;0:38:51;0:58:36;1:18:22;1:22:43;1:38:14;1:58:13;2:18:25;2:39:27;2:48:59
2008;W;加瀬沢 好美;15058;2:51:18;2:50:29;3;0:21:57;0:42:04;1:02:31;1:23:11;1:27:45;1:43:34;2:03:56;2:23:49;2:43:06;2:51:18
2008;W;山内 美根子;15064;2:52:02;2:51:52;4;0:20:16;0:40:27;1:00:50;1:21:13;1:25:41;1:41:23;2:02:03;2:22:25;2:43:00;2:52:02
2008;W;田辺 ミヨ;15011;2:52:07;2:52:00;5;0:20:14;0:40:49;1:01:39;1:22:27;1:27:05;1:42:58;2:03:24;2:23:41;2:43:30;2:52:07
2008;W;石田 裕子;15005;2:53:02;2:52:34;6;0:21:13;0:41:33;1:01:53;1:22:23;1:26:54;1:42:42;2:03:04;2:23:29;2:44:08;2:53:02
2008;W;塚本 恭子;15025;2:53:53;2:53:41;7;0:20:29;0:40:48;1:01:34;1:22:12;1:26:44;1:43:31;2:03:56;2:24:12;2:44:47;2:53:53
2008;W;Wan-Ling Wu;50027;2:54:11;2:54:09;8;0:20:55;0:41:04;1:01:17;1:21:40;1:26:16;1:42:30;2:03:42;2:24:43;2:45:37;2:54:11
2008;W;檜山 恵子;15015;2:54:20;2:53:54;9;0:20:16;0:40:45;1:01:26;1:21:52;1:26:29;1:42:23;2:02:57;2:23:41;2:44:52;2:54:20
2008;W;田中 光;15004;2:54:45;2:54:33;10;0:20:06;0:40:45;1:01:30;1:21:43;1:26:13;1:41:51;2:02:28;2:24:20;2:45:26;2:54:45
